Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,Average_Directional_Index: 5 20,Active,9.517,11.613,0.82,47.709,560,2.67,2310,2198,0.2684,0.2551,0.5235,254170
EURUSD=X,FX,Average_Directional_Index: 5 20,Passive,-0.709,11.501,-0.062,37.808,1,0,1,0,0.4987,0,0.4987,44028
EURUSD=X,FX,Average_Directional_Index: 5 25,Active,5.067,11.925,0.425,67.75,470,2.24,2247,2261,0.2578,0.2587,0.5164,121038
EURUSD=X,FX,Average_Directional_Index: 5 25,Passive,-0.709,11.501,-0.062,37.808,1,0,1,0,0.4987,0,0.4987,44028
EURUSD=X,FX,Average_Directional_Index: 5 30,Active,3.451,11.927,0.289,59.675,344,1.64,2255,2253,0.2553,0.2544,0.5098,91735
EURUSD=X,FX,Average_Directional_Index: 5 30,Passive,-0.709,11.501,-0.062,37.808,1,0,1,0,0.4987,0,0.4987,44028
EURUSD=X,FX,Average_Directional_Index: 5 35,Active,6.095,11.628,0.524,36.326,244,1.16,2199,2309,0.2509,0.2624,0.5133,144047
EURUSD=X,FX,Average_Directional_Index: 5 35,Passive,-0.709,11.501,-0.062,37.808,1,0,1,0,0.4987,0,0.4987,44028
EURUSD=X,FX,Average_Directional_Index: 5 40,Active,3.856,11.628,0.332,26.823,175,0.83,2046,2462,0.2298,0.2753,0.5051,98361
EURUSD=X,FX,Average_Directional_Index: 5 40,Passive,-0.709,11.501,-0.062,37.808,1,0,1,0,0.4987,0,0.4987,44028
EURUSD=X,FX,Average_Directional_Index: 6 20,Active,8.097,11.62,0.697,45.186,482,2.3,2285,2221,0.2645,0.2568,0.5213,201123
EURUSD=X,FX,Average_Directional_Index: 6 20,Passive,-0.726,11.504,-0.063,37.809,1,0,1,0,0.4987,0,0.4987,43890
EURUSD=X,FX,Average_Directional_Index: 6 25,Active,6.304,11.627,0.542,37.811,364,1.73,2271,2235,0.2568,0.2526,0.5093,149144
EURUSD=X,FX,Average_Directional_Index: 6 25,Passive,-0.726,11.504,-0.063,37.809,1,0,1,0,0.4987,0,0.4987,43890
EURUSD=X,FX,Average_Directional_Index: 6 30,Active,5.461,11.598,0.471,22.365,252,1.2,2135,2371,0.2399,0.2656,0.5055,129356
EURUSD=X,FX,Average_Directional_Index: 6 30,Passive,-0.726,11.504,-0.063,37.809,1,0,1,0,0.4987,0,0.4987,43890
EURUSD=X,FX,Average_Directional_Index: 6 35,Active,3.86,11.631,0.332,22.365,171,0.81,1993,2513,0.2244,0.2812,0.5055,98399
EURUSD=X,FX,Average_Directional_Index: 6 35,Passive,-0.726,11.504,-0.063,37.809,1,0,1,0,0.4987,0,0.4987,43890
EURUSD=X,FX,Average_Directional_Index: 6 40,Active,0.105,11.936,0.009,42.15,127,0.6,2285,2221,0.2559,0.2481,0.504,50945
EURUSD=X,FX,Average_Directional_Index: 6 40,Passive,-0.726,11.504,-0.063,37.809,1,0,1,0,0.4987,0,0.4987,43890
EURUSD=X,FX,Average_Directional_Index: 7 20,Active,3.757,11.939,0.315,64.547,432,2.06,2263,2241,0.2578,0.2551,0.5129,96648
EURUSD=X,FX,Average_Directional_Index: 7 20,Passive,-0.722,11.506,-0.063,37.809,1,0,1,0,0.4984,0,0.4984,43926
EURUSD=X,FX,Average_Directional_Index: 7 25,Active,5.745,11.602,0.495,31.145,302,1.44,2223,2281,0.2507,0.2567,0.5073,135676
EURUSD=X,FX,Average_Directional_Index: 7 25,Passive,-0.722,11.506,-0.063,37.809,1,0,1,0,0.4984,0,0.4984,43926
EURUSD=X,FX,Average_Directional_Index: 7 30,Active,3.358,11.906,0.282,36.495,197,0.94,2023,2481,0.2298,0.2802,0.51,90222
EURUSD=X,FX,Average_Directional_Index: 7 30,Passive,-0.722,11.506,-0.063,37.809,1,0,1,0,0.4984,0,0.4984,43926
EURUSD=X,FX,Average_Directional_Index: 7 35,Active,-0.557,11.938,-0.047,38.403,133,0.63,2122,2382,0.2353,0.2633,0.4987,45249
EURUSD=X,FX,Average_Directional_Index: 7 35,Passive,-0.722,11.506,-0.063,37.809,1,0,1,0,0.4984,0,0.4984,43926
EURUSD=X,FX,Average_Directional_Index: 7 40,Active,4.294,11.902,0.361,19.272,71,0.34,2125,2379,0.2409,0.268,0.5089,105978
EURUSD=X,FX,Average_Directional_Index: 7 40,Passive,-0.722,11.506,-0.063,37.809,1,0,1,0,0.4984,0,0.4984,43926
EURUSD=X,FX,Average_Directional_Index: 8 20,Active,4.276,11.64,0.367,53.593,369,1.76,2259,2243,0.2577,0.2559,0.5135,105623
EURUSD=X,FX,Average_Directional_Index: 8 20,Passive,-0.728,11.507,-0.063,37.808,1,0,1,0,0.4984,0,0.4984,43882
EURUSD=X,FX,Average_Directional_Index: 8 25,Active,2.644,11.906,0.222,45.448,244,1.16,1952,2550,0.2186,0.2845,0.5031,79686
EURUSD=X,FX,Average_Directional_Index: 8 25,Passive,-0.728,11.507,-0.063,37.808,1,0,1,0,0.4984,0,0.4984,43882
EURUSD=X,FX,Average_Directional_Index: 8 30,Active,1.524,11.91,0.128,33.328,159,0.76,2040,2462,0.2295,0.2757,0.5051,65513
EURUSD=X,FX,Average_Directional_Index: 8 30,Passive,-0.728,11.507,-0.063,37.808,1,0,1,0,0.4984,0,0.4984,43882
EURUSD=X,FX,Average_Directional_Index: 8 35,Active,1.923,11.935,0.161,24.517,89,0.42,1933,2569,0.2152,0.285,0.5002,70268
EURUSD=X,FX,Average_Directional_Index: 8 35,Passive,-0.728,11.507,-0.063,37.808,1,0,1,0,0.4984,0,0.4984,43882
EURUSD=X,FX,Average_Directional_Index: 8 40,Active,5.524,11.9,0.464,19.272,49,0.23,2262,2240,0.2554,0.2521,0.5076,130625
EURUSD=X,FX,Average_Directional_Index: 8 40,Passive,-0.728,11.507,-0.063,37.808,1,0,1,0,0.4984,0,0.4984,43882
EURUSD=X,FX,Average_Directional_Index: 9 20,Active,5.686,11.636,0.489,37.339,311,1.48,2229,2271,0.2531,0.2576,0.5107,134194
EURUSD=X,FX,Average_Directional_Index: 9 20,Passive,-0.714,11.51,-0.062,37.809,1,0,1,0,0.4987,0,0.4987,43997
EURUSD=X,FX,Average_Directional_Index: 9 25,Active,1.323,11.914,0.111,44.513,203,0.97,2056,2444,0.2291,0.272,0.5011,63221
EURUSD=X,FX,Average_Directional_Index: 9 25,Passive,-0.714,11.51,-0.062,37.809,1,0,1,0,0.4987,0,0.4987,43997
EURUSD=X,FX,Average_Directional_Index: 9 30,Active,-0.45,11.912,-0.038,37.373,125,0.6,2264,2236,0.2504,0.2464,0.4969,46130
EURUSD=X,FX,Average_Directional_Index: 9 30,Passive,-0.714,11.51,-0.062,37.809,1,0,1,0,0.4987,0,0.4987,43997
EURUSD=X,FX,Average_Directional_Index: 9 35,Active,3.009,11.91,0.253,19.273,63,0.3,2421,2079,0.2731,0.2351,0.5082,84879
EURUSD=X,FX,Average_Directional_Index: 9 35,Passive,-0.714,11.51,-0.062,37.809,1,0,1,0,0.4987,0,0.4987,43997
EURUSD=X,FX,Average_Directional_Index: 9 40,Active,5.971,11.902,0.502,19.272,33,0.16,2152,2348,0.2449,0.266,0.5109,140812
EURUSD=X,FX,Average_Directional_Index: 9 40,Passive,-0.714,11.51,-0.062,37.809,1,0,1,0,0.4987,0,0.4987,43997
EURUSD=X,FX,Average_Directional_Index: 10 20,Active,4.05,11.642,0.348,42.3,261,1.24,2019,2479,0.2274,0.2781,0.5056,101554
EURUSD=X,FX,Average_Directional_Index: 10 20,Passive,-0.73,11.512,-0.063,37.809,1,0,1,0,0.4987,0,0.4987,43872
EURUSD=X,FX,Average_Directional_Index: 10 25,Active,-0.032,11.919,-0.003,52.106,171,0.81,2159,2339,0.2399,0.2599,0.4998,49712
EURUSD=X,FX,Average_Directional_Index: 10 25,Passive,-0.73,11.512,-0.063,37.809,1,0,1,0,0.4987,0,0.4987,43872
EURUSD=X,FX,Average_Directional_Index: 10 30,Active,1.884,11.911,0.158,19.272,85,0.4,2423,2075,0.2695,0.2308,0.5002,69764
EURUSD=X,FX,Average_Directional_Index: 10 30,Passive,-0.73,11.512,-0.063,37.809,1,0,1,0,0.4987,0,0.4987,43872
EURUSD=X,FX,Average_Directional_Index: 10 35,Active,3.21,11.913,0.269,19.272,49,0.23,2433,2065,0.2732,0.2319,0.5051,87875
EURUSD=X,FX,Average_Directional_Index: 10 35,Passive,-0.73,11.512,-0.063,37.809,1,0,1,0,0.4987,0,0.4987,43872
EURUSD=X,FX,Average_Directional_Index: 10 40,Active,2.824,11.914,0.237,20.374,29,0.14,2121,2377,0.2386,0.2668,0.5053,82184
EURUSD=X,FX,Average_Directional_Index: 10 40,Passive,-0.73,11.512,-0.063,37.809,1,0,1,0,0.4987,0,0.4987,43872
EURUSD=X,FX,Average_Directional_Index: 11 20,Active,2.972,11.645,0.255,33.667,227,1.09,2037,2459,0.2291,0.2756,0.5047,84305
EURUSD=X,FX,Average_Directional_Index: 11 20,Passive,-0.753,11.514,-0.065,37.809,1,0,1,0,0.4984,0,0.4984,43693
EURUSD=X,FX,Average_Directional_Index: 11 25,Active,1.135,11.916,0.095,41.193,133,0.64,2026,2470,0.2273,0.2767,0.504,61155
EURUSD=X,FX,Average_Directional_Index: 11 25,Passive,-0.753,11.514,-0.065,37.809,1,0,1,0,0.4984,0,0.4984,43693
EURUSD=X,FX,Average_Directional_Index: 11 30,Active,1.443,11.918,0.121,19.273,65,0.31,2466,2030,0.2758,0.228,0.5038,64563
EURUSD=X,FX,Average_Directional_Index: 11 30,Passive,-0.753,11.514,-0.065,37.809,1,0,1,0,0.4984,0,0.4984,43693
EURUSD=X,FX,Average_Directional_Index: 11 35,Active,3.924,11.91,0.329,19.273,35,0.17,2247,2249,0.2542,0.2542,0.5085,99340
EURUSD=X,FX,Average_Directional_Index: 11 35,Passive,-0.753,11.514,-0.065,37.809,1,0,1,0,0.4984,0,0.4984,43693
EURUSD=X,FX,Average_Directional_Index: 11 40,Active,4.407,11.966,0.368,19.272,24,0.12,2249,2195,0.2601,0.2545,0.5146,106946
EURUSD=X,FX,Average_Directional_Index: 11 40,Passive,-0.978,11.568,-0.085,37.808,1,0,1,0,0.4975,0,0.4975,42047
EURUSD=X,FX,Average_Directional_Index: 12 20,Active,0.333,11.952,0.028,49.65,201,0.96,2124,2370,0.2365,0.2635,0.5,53049
EURUSD=X,FX,Average_Directional_Index: 12 20,Passive,-0.716,11.516,-0.062,37.809,1,0,1,0,0.4987,0,0.4987,43987
EURUSD=X,FX,Average_Directional_Index: 12 25,Active,1.772,11.912,0.149,43.195,105,0.5,2094,2400,0.2365,0.2704,0.5069,68393
EURUSD=X,FX,Average_Directional_Index: 12 25,Passive,-0.716,11.516,-0.062,37.809,1,0,1,0,0.4987,0,0.4987,43987
EURUSD=X,FX,Average_Directional_Index: 12 30,Active,1.102,11.919,0.092,20.594,51,0.24,2426,2068,0.2724,0.2325,0.5049,60785
EURUSD=X,FX,Average_Directional_Index: 12 30,Passive,-0.716,11.516,-0.062,37.809,1,0,1,0,0.4987,0,0.4987,43987
EURUSD=X,FX,Average_Directional_Index: 12 35,Active,3.557,11.966,0.297,19.273,30,0.14,2307,2138,0.2623,0.2436,0.506,92606
EURUSD=X,FX,Average_Directional_Index: 12 35,Passive,-0.974,11.566,-0.084,37.808,1,0,1,0,0.4976,0,0.4976,42072
EURUSD=X,FX,Average_Directional_Index: 12 40,Active,1.244,11.973,0.104,26.771,22,0.11,2253,2190,0.2586,0.2523,0.5109,62172
EURUSD=X,FX,Average_Directional_Index: 12 40,Passive,-0.996,11.569,-0.086,37.809,1,0,1,0,0.4974,0,0.4974,41914
EURUSD=X,FX,Average_Directional_Index: 13 20,Active,-1.042,11.953,-0.087,55.381,184,0.88,2186,2306,0.242,0.2542,0.4962,41483
EURUSD=X,FX,Average_Directional_Index: 13 20,Passive,-0.755,11.518,-0.066,37.808,1,0,1,0,0.4987,0,0.4987,43680
EURUSD=X,FX,Average_Directional_Index: 13 25,Active,3.661,11.915,0.307,19.272,83,0.4,2313,2179,0.262,0.2473,0.5093,94904
EURUSD=X,FX,Average_Directional_Index: 13 25,Passive,-0.755,11.518,-0.066,37.808,1,0,1,0,0.4987,0,0.4987,43680
EURUSD=X,FX,Average_Directional_Index: 13 30,Active,2.257,11.917,0.189,26.017,43,0.21,2290,2202,0.2573,0.2473,0.5047,74424
EURUSD=X,FX,Average_Directional_Index: 13 30,Passive,-0.755,11.518,-0.066,37.808,1,0,1,0,0.4987,0,0.4987,43680
EURUSD=X,FX,Average_Directional_Index: 13 35,Active,2.388,11.97,0.199,20.401,30,0.14,2312,2132,0.2635,0.2439,0.5074,75804
