Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
USDPLN=X,FX,AlphaEngine: 0.02525729 0.0001 TH FALSE FALSE,Active,3.399,5.51,0.617,6.247,273,2.5,239,2,0.0564,0,0.0564,68035
USDPLN=X,FX,AlphaEngine: 0.02525729 0.001 TH FALSE FALSE,Active,3.399,5.51,0.617,6.247,273,2.5,239,2,0.0564,0,0.0564,68035
USDPLN=X,FX,AlphaEngine: 0.02525729 0.01 TH FALSE FALSE,Active,3.399,5.51,0.617,6.247,273,2.5,239,2,0.0564,0,0.0564,68035
USDPLN=X,FX,AlphaEngine: 0.02525729 0.0001 TH FALSE TRUE,Active,2.43,4.691,0.518,5.26,273,2.5,239,2,0.0564,0,0.0564,62380
USDPLN=X,FX,AlphaEngine: 0.02525729 0.001 TH FALSE TRUE,Active,2.43,4.691,0.518,5.26,273,2.5,239,2,0.0564,0,0.0564,62380
USDPLN=X,FX,AlphaEngine: 0.02525729 0.01 TH FALSE TRUE,Active,2.43,4.691,0.518,5.26,273,2.5,239,2,0.0564,0,0.0564,62380
USDPLN=X,FX,AlphaEngine: 0.015 0.01 TH FALSE FALSE,Active,1.859,7.665,0.243,16.219,516,4.73,422,21,0.0921,0.0043,0.0964,59248
USDPLN=X,FX,AlphaEngine: 0.015 0.001 TH FALSE FALSE,Active,1.369,7.73,0.177,21.63,512,4.7,423,16,0.0913,0.0043,0.0956,56676
USDPLN=X,FX,AlphaEngine: 0.005 0.0001 TH FALSE TRUE,Passive,1.215,16.878,0.072,38.064,1,0,1,0,0.4808,0,0.4808,55885
USDPLN=X,FX,AlphaEngine: 0.015 0.01 TH FALSE TRUE,Active,1.116,6.414,0.174,10.116,516,4.73,422,21,0.0921,0.0043,0.0964,55386
USDPLN=X,FX,AlphaEngine: 0.015 0.001 TH FALSE TRUE,Active,0.863,6.424,0.134,14.77,512,4.7,423,16,0.0913,0.0043,0.0956,54120
USDPLN=X,FX,AlphaEngine: 0.01 0.001 TH FALSE TRUE,Active,0.634,7.362,0.086,18.651,730,6.7,521,38,0.1063,0.0082,0.1145,52999
USDPLN=X,FX,AlphaEngine: 0.02525729 0.0001 OS FALSE FALSE,Active,0.511,3.82,0.134,6.219,202,1.85,179,1,0.04,0.0004,0.0405,52402
USDPLN=X,FX,AlphaEngine: 0.02525729 0.001 OS FALSE FALSE,Active,0.511,3.82,0.134,6.219,202,1.85,179,1,0.04,0.0004,0.0405,52402
USDPLN=X,FX,AlphaEngine: 0.02525729 0.01 OS FALSE FALSE,Active,0.511,3.82,0.134,6.219,202,1.85,179,1,0.04,0.0004,0.0405,52402
USDPLN=X,FX,AlphaEngine: 0.01 0.001 TH FALSE FALSE,Active,0.496,8.854,0.056,24.193,730,6.7,521,38,0.1063,0.0082,0.1145,52332
USDPLN=X,FX,AlphaEngine: 0.005 0.0001 OS FALSE FALSE,Active,0.439,1.105,0.397,2.013,32,0.29,24,1,0.0069,0.0004,0.0073,52058
USDPLN=X,FX,AlphaEngine: 0.005 0.001 OS FALSE FALSE,Active,0.439,1.105,0.397,2.013,32,0.29,24,1,0.0069,0.0004,0.0073,52058
USDPLN=X,FX,AlphaEngine: 0.005 0.01 OS FALSE FALSE,Active,0.439,1.105,0.397,2.013,32,0.29,24,1,0.0069,0.0004,0.0073,52058
USDPLN=X,FX,AlphaEngine: 0.005 0.01 TH FALSE FALSE,Active,0.414,10.205,0.041,40.232,1143,10.49,604,194,0.1279,0.0465,0.1743,51940
USDPLN=X,FX,AlphaEngine: 0.02525729 0.0001 OS FALSE TRUE,Active,0.404,3.532,0.114,5.129,202,1.85,179,1,0.04,0.0004,0.0405,51893
USDPLN=X,FX,AlphaEngine: 0.02525729 0.001 OS FALSE TRUE,Active,0.404,3.532,0.114,5.129,202,1.85,179,1,0.04,0.0004,0.0405,51893
USDPLN=X,FX,AlphaEngine: 0.02525729 0.01 OS FALSE TRUE,Active,0.404,3.532,0.114,5.129,202,1.85,179,1,0.04,0.0004,0.0405,51893
USDPLN=X,FX,AlphaEngine: 0.005 0.0001 OS FALSE TRUE,Active,0.375,0.84,0.446,1.671,32,0.29,24,1,0.0069,0.0004,0.0073,51755
USDPLN=X,FX,AlphaEngine: 0.005 0.001 OS FALSE TRUE,Active,0.375,0.84,0.446,1.671,32,0.29,24,1,0.0069,0.0004,0.0073,51755
USDPLN=X,FX,AlphaEngine: 0.005 0.01 OS FALSE TRUE,Active,0.375,0.84,0.446,1.671,32,0.29,24,1,0.0069,0.0004,0.0073,51755
USDPLN=X,FX,AlphaEngine: 0.015 0.0001 OS FALSE FALSE,Active,0.328,3.958,0.083,13.067,260,2.39,212,1,0.0461,0,0.0461,51530
USDPLN=X,FX,AlphaEngine: 0.015 0.001 OS FALSE FALSE,Active,0.325,3.958,0.082,13.067,260,2.39,212,1,0.0461,0,0.0461,51520
USDPLN=X,FX,AlphaEngine: 0.015 0.01 OS FALSE FALSE,Active,0.325,3.958,0.082,13.067,260,2.39,212,1,0.0461,0,0.0461,51520
USDPLN=X,FX,AlphaEngine: 0.015 0.0001 OS FALSE TRUE,Active,0.243,3.633,0.067,11.888,260,2.39,212,1,0.0461,0,0.0461,51130
USDPLN=X,FX,AlphaEngine: 0.015 0.001 OS FALSE TRUE,Active,0.241,3.633,0.066,11.888,260,2.39,212,1,0.0461,0,0.0461,51120
USDPLN=X,FX,AlphaEngine: 0.015 0.01 OS FALSE TRUE,Active,0.241,3.633,0.066,11.888,260,2.39,212,1,0.0461,0,0.0461,51120
USDPLN=X,FX,AlphaEngine: 0.015 0.0001 TH FALSE FALSE,Active,0.123,7.724,0.016,25.563,513,4.71,423,15,0.0904,0.003,0.0934,50568
USDPLN=X,FX,AlphaEngine: 0.005 0.01 TH FALSE TRUE,Active,-0.127,8.941,-0.014,39.493,1143,10.49,604,194,0.1279,0.0465,0.1743,49420
USDPLN=X,FX,AlphaEngine: 0.01 0.0001 OS FALSE TRUE,Active,-0.284,2.254,-0.126,8.292,157,1.44,135,1,0.0258,0,0.0258,48707
USDPLN=X,FX,AlphaEngine: 0.01 0.001 OS FALSE TRUE,Active,-0.284,2.254,-0.126,8.292,157,1.44,135,1,0.0258,0,0.0258,48707
USDPLN=X,FX,AlphaEngine: 0.01 0.01 OS FALSE TRUE,Active,-0.284,2.254,-0.126,8.292,157,1.44,135,1,0.0258,0,0.0258,48707
USDPLN=X,FX,AlphaEngine: 0.015 0.0001 TH FALSE TRUE,Active,-0.377,6.415,-0.059,19.046,513,4.71,423,15,0.0904,0.003,0.0934,48288
USDPLN=X,FX,AlphaEngine: 0.01 0.0001 OS FALSE FALSE,Active,-0.487,2.46,-0.198,9.171,157,1.44,135,1,0.0258,0,0.0258,47800
USDPLN=X,FX,AlphaEngine: 0.01 0.001 OS FALSE FALSE,Active,-0.487,2.46,-0.198,9.171,157,1.44,135,1,0.0258,0,0.0258,47800
USDPLN=X,FX,AlphaEngine: 0.01 0.01 OS FALSE FALSE,Active,-0.487,2.46,-0.198,9.171,157,1.44,135,1,0.0258,0,0.0258,47800
USDPLN=X,FX,AlphaEngine: 0.005 0.001 TH FALSE TRUE,Active,-0.592,8.921,-0.066,34.678,1171,10.74,632,143,0.1317,0.0344,0.1662,47338
USDPLN=X,FX,AlphaEngine: 0.01 0.01 TH FALSE FALSE,Active,-0.633,8.913,-0.071,27.202,726,6.66,516,51,0.1046,0.0099,0.1145,47159
USDPLN=X,FX,AlphaEngine: 0.01 0.01 TH FALSE TRUE,Active,-0.77,7.493,-0.103,24.588,726,6.66,516,51,0.1046,0.0099,0.1145,46564
USDPLN=X,FX,AlphaEngine: 0.01 0.0001 TH FALSE TRUE,Active,-0.814,7.408,-0.11,27.203,727,6.67,521,37,0.1055,0.0069,0.1124,46374
USDPLN=X,FX,AlphaEngine: 0.005 0.001 TH FALSE FALSE,Active,-0.863,10.109,-0.085,41.029,1171,10.74,632,143,0.1317,0.0344,0.1662,46164
USDPLN=X,FX,AlphaEngine: 0.01 0.0001 TH FALSE FALSE,Active,-1.294,8.882,-0.146,33.896,727,6.67,521,37,0.1055,0.0069,0.1124,44346
USDPLN=X,FX,AlphaEngine: 0.02 0.0001 OS FALSE TRUE,Active,-2.8,3.21,-0.872,24.717,244,2.24,215,1,0.0418,0,0.0418,38487
USDPLN=X,FX,AlphaEngine: 0.02 0.001 OS FALSE TRUE,Active,-2.8,3.21,-0.872,24.717,244,2.24,215,1,0.0418,0,0.0418,38487
USDPLN=X,FX,AlphaEngine: 0.02 0.01 OS FALSE TRUE,Active,-2.8,3.21,-0.872,24.717,244,2.24,215,1,0.0418,0,0.0418,38487
USDPLN=X,FX,AlphaEngine: 0.02 0.0001 OS FALSE FALSE,Active,-2.888,3.732,-0.774,25.973,244,2.24,215,1,0.0418,0,0.0418,38169
USDPLN=X,FX,AlphaEngine: 0.02 0.001 OS FALSE FALSE,Active,-2.888,3.732,-0.774,25.973,244,2.24,215,1,0.0418,0,0.0418,38169
USDPLN=X,FX,AlphaEngine: 0.02 0.01 OS FALSE FALSE,Active,-2.888,3.732,-0.774,25.973,244,2.24,215,1,0.0418,0,0.0418,38169
USDPLN=X,FX,AlphaEngine: 0.005 0.0001 TH FALSE TRUE,Active,-3.151,8.778,-0.359,42.782,1161,10.65,631,132,0.1296,0.0301,0.1597,37225
USDPLN=X,FX,AlphaEngine: 0.005 0.0001 TH FALSE FALSE,Active,-3.513,9.973,-0.352,46.529,1161,10.65,631,132,0.1296,0.0301,0.1597,35964
USDPLN=X,FX,AlphaEngine: 0.02 0.01 TH FALSE TRUE,Active,-3.691,5.524,-0.668,30.188,380,3.49,324,12,0.0641,0.0013,0.0654,35357
USDPLN=X,FX,AlphaEngine: 0.02 0.01 TH FALSE FALSE,Active,-3.967,6.325,-0.627,32.478,380,3.49,324,12,0.0641,0.0013,0.0654,34435
USDPLN=X,FX,AlphaEngine: 0.02 0.0001 TH FALSE TRUE,Active,-4.316,5.725,-0.754,34.253,379,3.48,325,10,0.0641,0.0004,0.0646,33298
USDPLN=X,FX,AlphaEngine: 0.02 0.001 TH FALSE TRUE,Active,-4.316,5.725,-0.754,34.253,379,3.48,325,10,0.0641,0.0004,0.0646,33298
USDPLN=X,FX,AlphaEngine: 0.02 0.0001 TH FALSE FALSE,Active,-4.686,6.584,-0.712,37.001,379,3.48,325,10,0.0641,0.0004,0.0646,32129
USDPLN=X,FX,AlphaEngine: 0.02 0.001 TH FALSE FALSE,Active,-4.686,6.584,-0.712,37.001,379,3.48,325,10,0.0641,0.0004,0.0646,32129
NZDJPY=X,FX,AlphaEngine: 0.01 0.01 TH FALSE FALSE,Active,5.266,9.33,0.564,20.762,612,5.61,369,48,0.0906,0.0107,0.1013,80508
NZDJPY=X,FX,AlphaEngine: 0.005 0.001 TH FALSE TRUE,Active,4.79,9.88,0.485,23.305,1094,10.04,536,184,0.1218,0.0423,0.1641,77193
NZDJPY=X,FX,AlphaEngine: 0.01 0.01 TH FALSE TRUE,Active,4.699,7.864,0.598,18.248,612,5.61,369,48,0.0906,0.0107,0.1013,76576
NZDJPY=X,FX,AlphaEngine: 0.005 0.001 TH FALSE FALSE,Active,4.262,12.37,0.345,34.165,1094,10.04,536,184,0.1218,0.0423,0.1641,73656
NZDJPY=X,FX,AlphaEngine: 0.015 0.001 TH FALSE FALSE,Active,3.853,8.044,0.479,16.287,421,3.86,287,22,0.0701,0.0043,0.0744,71019
NZDJPY=X,FX,AlphaEngine: 0.015 0.0001 TH FALSE FALSE,Active,3.268,8.278,0.395,22.106,417,3.83,286,20,0.0697,0.0043,0.0739,67393
NZDJPY=X,FX,AlphaEngine: 0.015 0.001 TH FALSE TRUE,Active,3.258,6.603,0.493,12.767,421,3.86,287,22,0.0701,0.0043,0.0744,67332
NZDJPY=X,FX,AlphaEngine: 0.02 0.01 TH FALSE FALSE,Active,3.068,9.111,0.337,13.807,326,2.99,233,7,0.0568,0.0017,0.0585,66188
NZDJPY=X,FX,AlphaEngine: 0.015 0.0001 TH FALSE TRUE,Active,3.066,6.642,0.462,15.374,417,3.83,286,20,0.0697,0.0043,0.0739,66178
NZDJPY=X,FX,AlphaEngine: 0.02 0.0001 TH FALSE FALSE,Active,2.905,9.053,0.321,13.807,325,2.98,233,5,0.0568,0.0009,0.0577,65225
NZDJPY=X,FX,AlphaEngine: 0.02 0.001 TH FALSE FALSE,Active,2.905,9.053,0.321,13.807,325,2.98,233,5,0.0568,0.0009,0.0577,65225
NZDJPY=X,FX,AlphaEngine: 0.01 0.001 TH FALSE TRUE,Active,2.844,7.668,0.371,18.483,622,5.71,372,39,0.0876,0.0077,0.0953,64866
NZDJPY=X,FX,AlphaEngine: 0.01 0.001 TH FALSE FALSE,Active,2.81,9.113,0.308,19.35,622,5.71,372,39,0.0876,0.0077,0.0953,64664
NZDJPY=X,FX,AlphaEngine: 0.005 0.0001 TH FALSE TRUE,Active,2.579,9.951,0.259,23.651,1082,9.93,535,171,0.1188,0.0346,0.1534,63333
NZDJPY=X,FX,AlphaEngine: 0.005 0.0001 TH FALSE FALSE,Active,1.998,12.407,0.161,34.466,1082,9.93,535,171,0.1188,0.0346,0.1534,60081
NZDJPY=X,FX,AlphaEngine: 0.005 0.0001 TH FALSE TRUE,Passive,1.929,18.969,0.102,53.515,1,0,1,0,0.5385,0,0.5385,59703
NZDJPY=X,FX,AlphaEngine: 0.02 0.0001 OS FALSE FALSE,Active,1.912,3.32,0.576,4.733,173,1.59,121,10,0.0312,0.003,0.0342,59611
NZDJPY=X,FX,AlphaEngine: 0.02 0.001 OS FALSE FALSE,Active,1.912,3.32,0.576,4.733,173,1.59,121,10,0.0312,0.003,0.0342,59611
NZDJPY=X,FX,AlphaEngine: 0.02 0.01 TH FALSE TRUE,Active,1.908,6.629,0.288,12.269,326,2.99,233,7,0.0568,0.0017,0.0585,59590
NZDJPY=X,FX,AlphaEngine: 0.02 0.01 OS FALSE FALSE,Active,1.82,3.307,0.55,4.73,172,1.58,120,9,0.0303,0.003,0.0333,59114
NZDJPY=X,FX,AlphaEngine: 0.02 0.0001 TH FALSE TRUE,Active,1.798,6.54,0.275,12.269,325,2.98,233,5,0.0568,0.0009,0.0577,58996
NZDJPY=X,FX,AlphaEngine: 0.02 0.001 TH FALSE TRUE,Active,1.798,6.54,0.275,12.269,325,2.98,233,5,0.0568,0.0009,0.0577,58996
NZDJPY=X,FX,AlphaEngine: 0.015 0.01 TH FALSE FALSE,Active,1.785,8.308,0.215,20.483,414,3.8,284,24,0.0688,0.0038,0.0726,58922
NZDJPY=X,FX,AlphaEngine: 0.01 0.0001 TH FALSE TRUE,Active,1.551,7.724,0.201,21.088,617,5.66,371,36,0.0872,0.0068,0.094,57680
NZDJPY=X,FX,AlphaEngine: 0.02 0.0001 OS FALSE TRUE,Active,1.528,2.838,0.538,4.775,173,1.59,121,10,0.0312,0.003,0.0342,57556
NZDJPY=X,FX,AlphaEngine: 0.02 0.001 OS FALSE TRUE,Active,1.528,2.838,0.538,4.775,173,1.59,121,10,0.0312,0.003,0.0342,57556
NZDJPY=X,FX,AlphaEngine: 0.02 0.01 OS FALSE TRUE,Active,1.437,2.824,0.509,4.774,172,1.58,120,9,0.0303,0.003,0.0333,57078
NZDJPY=X,FX,AlphaEngine: 0.015 0.01 TH FALSE TRUE,Active,1.239,7.005,0.177,17.581,414,3.8,284,24,0.0688,0.0038,0.0726,56056
NZDJPY=X,FX,AlphaEngine: 0.01 0.0001 TH FALSE FALSE,Active,1.119,9.359,0.12,22.896,617,5.66,371,36,0.0872,0.0068,0.094,55441
NZDJPY=X,FX,AlphaEngine: 0.015 0.0001 OS FALSE FALSE,Active,0.628,3.077,0.204,9.492,115,1.06,87,4,0.0201,0.0013,0.0214,52990
NZDJPY=X,FX,AlphaEngine: 0.015 0.001 OS FALSE FALSE,Active,0.628,3.077,0.204,9.492,115,1.06,87,4,0.0201,0.0013,0.0214,52990
NZDJPY=X,FX,AlphaEngine: 0.015 0.0001 OS FALSE TRUE,Active,0.549,2.741,0.2,8.435,115,1.06,87,4,0.0201,0.0013,0.0214,52608
NZDJPY=X,FX,AlphaEngine: 0.015 0.001 OS FALSE TRUE,Active,0.549,2.741,0.2,8.435,115,1.06,87,4,0.0201,0.0013,0.0214,52608
NZDJPY=X,FX,AlphaEngine: 0.015 0.01 OS FALSE FALSE,Active,0.526,3.084,0.171,9.492,116,1.06,87,4,0.0201,0.0009,0.0209,52493
NZDJPY=X,FX,AlphaEngine: 0.015 0.01 OS FALSE TRUE,Active,0.447,2.748,0.163,8.434,116,1.06,87,4,0.0201,0.0009,0.0209,52114
NZDJPY=X,FX,AlphaEngine: 0.005 0.01 TH FALSE FALSE,Active,0.337,12.624,0.027,27.006,1032,9.47,518,207,0.1167,0.0462,0.1628,51585
NZDJPY=X,FX,AlphaEngine: 0.005 0.01 TH FALSE TRUE,Active,0.271,9.972,0.027,18.25,1032,9.47,518,207,0.1167,0.0462,0.1628,51271
NZDJPY=X,FX,AlphaEngine: 0.005 0.0001 OS FALSE FALSE,Active,0.19,0.88,0.216,1.008,16,0.15,10,1,0.0021,0.0004,0.0026,50891
NZDJPY=X,FX,AlphaEngine: 0.005 0.001 OS FALSE FALSE,Active,0.19,0.88,0.216,1.008,16,0.15,10,1,0.0021,0.0004,0.0026,50891
