Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,ARIMAbased: 21 expanding 0 1 1,Active,-2.07,8.397,-0.247,15.549,139,5.15,290,291,0.2324,0.2496,0.4819,47646
EURUSD=X,FX,ARIMAbased: 21 expanding 0 1 1,Passive,-2.128,8.397,-0.253,16.251,1,0,1,0,0.4854,0,0.4854,47581
EURUSD=X,FX,ARIMAbased: 21 expanding 0 1 2,Active,-2.228,8.397,-0.265,14.186,147,5.44,289,292,0.2392,0.2565,0.4957,47469
EURUSD=X,FX,ARIMAbased: 21 expanding 0 1 2,Passive,-2.128,8.397,-0.253,16.251,1,0,1,0,0.4854,0,0.4854,47581
EURUSD=X,FX,ARIMAbased: 21 expanding 0 1 3,Active,0.86,8.397,0.102,10.844,173,6.41,279,302,0.2306,0.2651,0.4957,50997
EURUSD=X,FX,ARIMAbased: 21 expanding 0 1 3,Passive,-2.128,8.397,-0.253,16.251,1,0,1,0,0.4854,0,0.4854,47581
EURUSD=X,FX,ARIMAbased: 21 expanding 0 2 1,Active,-4.351,8.359,-0.521,21.239,24,0.89,241,338,0.1859,0.2857,0.4716,45126
EURUSD=X,FX,ARIMAbased: 21 expanding 0 2 1,Passive,-2.128,8.397,-0.253,16.251,1,0,1,0,0.4854,0,0.4854,47581
EURUSD=X,FX,ARIMAbased: 21 expanding 0 2 2,Active,-3.193,8.399,-0.38,16.555,99,3.67,225,356,0.1704,0.2995,0.4699,46395
EURUSD=X,FX,ARIMAbased: 21 expanding 0 2 2,Passive,-2.128,8.397,-0.253,16.251,1,0,1,0,0.4854,0,0.4854,47581
EURUSD=X,FX,ARIMAbased: 21 expanding 0 2 3,Active,-1.948,8.4,-0.232,16.732,101,3.74,246,335,0.1928,0.284,0.4768,47783
EURUSD=X,FX,ARIMAbased: 21 expanding 0 2 3,Passive,-2.128,8.397,-0.253,16.251,1,0,1,0,0.4854,0,0.4854,47581
EURUSD=X,FX,ARIMAbased: 21 expanding 1 1 1,Active,-2.634,8.397,-0.314,15.705,131,4.85,294,287,0.2392,0.2478,0.4871,47016
EURUSD=X,FX,ARIMAbased: 21 expanding 1 1 1,Passive,-2.132,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47576
EURUSD=X,FX,ARIMAbased: 21 expanding 1 1 2,Active,0.399,8.449,0.047,14.899,161,5.96,279,296,0.2226,0.2504,0.473,50456
EURUSD=X,FX,ARIMAbased: 21 expanding 1 1 2,Passive,-2.152,8.447,-0.255,16.248,1,0,1,0,0.487,0,0.487,47578
EURUSD=X,FX,ARIMAbased: 21 expanding 1 1 3,Active,-0.212,8.441,-0.025,10.757,176,6.52,283,292,0.2313,0.2504,0.4817,49758
EURUSD=X,FX,ARIMAbased: 21 expanding 1 1 3,Passive,-2.153,8.438,-0.255,16.249,1,0,1,0,0.487,0,0.487,47578
EURUSD=X,FX,ARIMAbased: 21 expanding 1 2 1,Active,-4.751,8.397,-0.566,22.882,91,3.37,218,363,0.1618,0.3029,0.4647,44692
EURUSD=X,FX,ARIMAbased: 21 expanding 1 2 1,Passive,-2.132,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47576
EURUSD=X,FX,ARIMAbased: 21 expanding 1 2 2,Active,-4.528,8.398,-0.539,19.862,60,2.22,231,350,0.179,0.2943,0.4733,44933
EURUSD=X,FX,ARIMAbased: 21 expanding 1 2 2,Passive,-2.132,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47576
EURUSD=X,FX,ARIMAbased: 21 expanding 1 2 3,Active,-7.179,8.39,-0.856,26.043,109,4.04,232,349,0.167,0.284,0.4509,42109
EURUSD=X,FX,ARIMAbased: 21 expanding 1 2 3,Passive,-2.132,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47576
EURUSD=X,FX,ARIMAbased: 21 expanding 2 1 1,Active,0.593,8.397,0.071,13.097,165,6.11,284,297,0.2238,0.2496,0.4733,50687
EURUSD=X,FX,ARIMAbased: 21 expanding 2 1 1,Passive,-2.132,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47576
EURUSD=X,FX,ARIMAbased: 21 expanding 2 1 2,Active,-0.383,8.401,-0.046,13.637,169,6.26,286,295,0.2358,0.2582,0.494,49560
EURUSD=X,FX,ARIMAbased: 21 expanding 2 1 2,Passive,-2.132,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47576
EURUSD=X,FX,ARIMAbased: 21 expanding 2 1 3,Active,-1.181,8.41,-0.14,17.362,158,5.85,294,284,0.2474,0.2509,0.4983,48656
EURUSD=X,FX,ARIMAbased: 21 expanding 2 1 3,Passive,-2.146,8.405,-0.255,16.257,1,0,1,0,0.4879,0,0.4879,47573
EURUSD=X,FX,ARIMAbased: 21 expanding 2 2 1,Active,-1.002,8.4,-0.119,15.206,111,4.11,247,334,0.1945,0.284,0.4785,48853
EURUSD=X,FX,ARIMAbased: 21 expanding 2 2 1,Passive,-2.137,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47571
EURUSD=X,FX,ARIMAbased: 21 expanding 2 2 2,Active,-5.256,8.396,-0.626,21.098,119,4.41,292,289,0.2238,0.2358,0.4596,44147
EURUSD=X,FX,ARIMAbased: 21 expanding 2 2 2,Passive,-2.137,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47571
EURUSD=X,FX,ARIMAbased: 21 expanding 2 2 3,Active,-1.786,8.336,-0.214,14.932,136,5.04,250,325,0.2157,0.2939,0.5096,47985
EURUSD=X,FX,ARIMAbased: 21 expanding 2 2 3,Passive,-2.16,8.333,-0.259,16.253,1,0,1,0,0.4852,0,0.4852,47570
EURUSD=X,FX,ARIMAbased: 21 expanding 3 1 1,Active,0.269,8.479,0.032,10.071,156,5.78,272,300,0.2273,0.2622,0.4895,50306
EURUSD=X,FX,ARIMAbased: 21 expanding 3 1 1,Passive,-2.169,8.476,-0.256,16.249,1,0,1,0,0.4878,0,0.4878,47572
EURUSD=X,FX,ARIMAbased: 21 expanding 3 1 2,Active,-0.137,8.401,-0.016,16.387,166,6.15,278,303,0.2255,0.2599,0.4854,49842
EURUSD=X,FX,ARIMAbased: 21 expanding 3 1 2,Passive,-2.132,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47576
EURUSD=X,FX,ARIMAbased: 21 expanding 3 1 3,Active,1.914,8.376,0.229,15.761,141,5.22,277,294,0.2312,0.2627,0.4939,52195
EURUSD=X,FX,ARIMAbased: 21 expanding 3 1 3,Passive,-2.176,8.378,-0.26,16.265,1,0,1,0,0.4851,0,0.4851,47569
EURUSD=X,FX,ARIMAbased: 21 expanding 3 2 1,Active,-1.224,8.4,-0.146,15.237,135,5,265,316,0.2151,0.2737,0.4888,48600
EURUSD=X,FX,ARIMAbased: 21 expanding 3 2 1,Passive,-2.132,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47576
EURUSD=X,FX,ARIMAbased: 21 expanding 3 2 2,Active,-3.725,8.398,-0.444,17.385,126,4.67,240,341,0.1876,0.2874,0.475,45810
EURUSD=X,FX,ARIMAbased: 21 expanding 3 2 2,Passive,-2.132,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47576
EURUSD=X,FX,ARIMAbased: 21 expanding 3 2 3,Active,-5.436,8.393,-0.648,18.902,142,5.26,289,292,0.2272,0.2427,0.4699,43954
EURUSD=X,FX,ARIMAbased: 21 expanding 3 2 3,Passive,-2.132,8.397,-0.254,16.251,1,0,1,0,0.4854,0,0.4854,47576
EURUSD=X,FX,ARIMAbased: 21 moving 0 1 1,Active,-1.063,8.395,-0.127,17.411,125,4.63,273,308,0.2306,0.2771,0.5077,48784
EURUSD=X,FX,ARIMAbased: 21 moving 0 1 1,Passive,-2.141,8.396,-0.255,16.251,1,0,1,0,0.4854,0,0.4854,47566
EURUSD=X,FX,ARIMAbased: 21 moving 0 1 2,Active,-4.632,8.392,-0.552,15.038,135,5,275,306,0.2289,0.2702,0.4991,44821
EURUSD=X,FX,ARIMAbased: 21 moving 0 1 2,Passive,-2.141,8.396,-0.255,16.251,1,0,1,0,0.4854,0,0.4854,47566
EURUSD=X,FX,ARIMAbased: 21 moving 0 1 3,Active,-4.675,8.394,-0.557,21.502,139,5.15,249,332,0.1945,0.2823,0.4768,44774
EURUSD=X,FX,ARIMAbased: 21 moving 0 1 3,Passive,-2.141,8.396,-0.255,16.251,1,0,1,0,0.4854,0,0.4854,47566
EURUSD=X,FX,ARIMAbased: 21 moving 0 2 1,Active,1.993,8.356,0.239,8.834,40,1.48,263,316,0.2169,0.2771,0.494,52327
EURUSD=X,FX,ARIMAbased: 21 moving 0 2 1,Passive,-2.141,8.396,-0.255,16.251,1,0,1,0,0.4854,0,0.4854,47566
EURUSD=X,FX,ARIMAbased: 21 moving 0 2 2,Active,-3.043,8.396,-0.362,17.783,66,2.44,259,322,0.2117,0.2788,0.4905,46562
EURUSD=X,FX,ARIMAbased: 21 moving 0 2 2,Passive,-2.141,8.396,-0.255,16.251,1,0,1,0,0.4854,0,0.4854,47566
EURUSD=X,FX,ARIMAbased: 21 moving 0 2 3,Active,-1.005,8.396,-0.12,13.061,80,2.96,286,295,0.2306,0.253,0.4836,48849
EURUSD=X,FX,ARIMAbased: 21 moving 0 2 3,Passive,-2.141,8.396,-0.255,16.251,1,0,1,0,0.4854,0,0.4854,47566
EURUSD=X,FX,ARIMAbased: 21 moving 1 1 1,Active,-6.571,8.602,-0.764,20.625,121,4.48,260,293,0.2278,0.2712,0.4991,43072
EURUSD=X,FX,ARIMAbased: 21 moving 1 1 1,Passive,-2.254,8.611,-0.262,16.266,1,0,1,0,0.4882,0,0.4882,47560
EURUSD=X,FX,ARIMAbased: 21 moving 1 1 2,Active,-9.554,8.729,-1.095,27.722,129,4.78,251,294,0.211,0.2679,0.4789,40240
EURUSD=X,FX,ARIMAbased: 21 moving 1 1 2,Passive,-2.278,8.747,-0.26,16.256,1,0,1,0,0.4844,0,0.4844,47569
EURUSD=X,FX,ARIMAbased: 21 moving 1 1 3,Active,-0.906,8.502,-0.107,15.156,125,4.63,244,314,0.2097,0.2885,0.4982,49002
EURUSD=X,FX,ARIMAbased: 21 moving 1 1 3,Passive,-2.231,8.503,-0.262,16.255,1,0,1,0,0.4839,0,0.4839,47563
EURUSD=X,FX,ARIMAbased: 21 moving 1 2 1,Active,1.705,8.374,0.204,9.08,58,2.15,249,330,0.2055,0.2902,0.4957,51981
EURUSD=X,FX,ARIMAbased: 21 moving 1 2 1,Passive,-2.148,8.376,-0.256,16.251,1,0,1,0,0.4836,0,0.4836,47566
EURUSD=X,FX,ARIMAbased: 21 moving 1 2 2,Active,0.863,8.513,0.101,12.46,72,2.67,259,306,0.2177,0.2743,0.492,50973
EURUSD=X,FX,ARIMAbased: 21 moving 1 2 2,Passive,-2.191,8.514,-0.257,16.245,1,0,1,0,0.4832,0,0.4832,47577
EURUSD=X,FX,ARIMAbased: 21 moving 1 2 3,Active,1.012,8.58,0.118,9.914,83,3.07,277,280,0.2334,0.2549,0.4883,51125
EURUSD=X,FX,ARIMAbased: 21 moving 1 2 3,Passive,-2.223,8.577,-0.259,16.242,1,0,1,0,0.4829,0,0.4829,47576
EURUSD=X,FX,ARIMAbased: 21 moving 2 1 1,Active,-4.804,8.511,-0.564,16.186,153,5.67,255,311,0.2102,0.2774,0.4876,44766
EURUSD=X,FX,ARIMAbased: 21 moving 2 1 1,Passive,-2.196,8.512,-0.258,16.251,1,0,1,0,0.4841,0,0.4841,47568
EURUSD=X,FX,ARIMAbased: 21 moving 2 1 2,Active,-9.76,8.457,-1.154,25.864,143,5.3,278,289,0.224,0.2469,0.4709,39685
EURUSD=X,FX,ARIMAbased: 21 moving 2 1 2,Passive,-2.195,8.478,-0.259,16.256,1,0,1,0,0.4868,0,0.4868,47564
EURUSD=X,FX,ARIMAbased: 21 moving 2 1 3,Active,-6.441,8.447,-0.763,18.79,148,5.48,278,292,0.2246,0.2491,0.4737,43010
EURUSD=X,FX,ARIMAbased: 21 moving 2 1 3,Passive,-2.191,8.451,-0.259,16.268,1,0,1,0,0.4877,0,0.4877,47556
EURUSD=X,FX,ARIMAbased: 21 moving 2 2 1,Active,-6.806,8.419,-0.808,22.232,90,3.33,263,315,0.2111,0.2716,0.4827,42536
EURUSD=X,FX,ARIMAbased: 21 moving 2 2 1,Passive,-2.153,8.425,-0.256,16.253,1,0,1,0,0.4844,0,0.4844,47565
EURUSD=X,FX,ARIMAbased: 21 moving 2 2 2,Active,-0.698,8.517,-0.082,16.83,94,3.48,256,317,0.2147,0.2827,0.4974,49210
EURUSD=X,FX,ARIMAbased: 21 moving 2 2 2,Passive,-2.173,8.516,-0.255,16.252,1,0,1,0,0.4834,0,0.4834,47564
EURUSD=X,FX,ARIMAbased: 21 moving 2 2 3,Active,5.38,8.597,0.626,9.29,103,3.81,255,312,0.2222,0.2928,0.515,56257
EURUSD=X,FX,ARIMAbased: 21 moving 2 2 3,Passive,-2.195,8.602,-0.255,16.255,1,0,1,0,0.4797,0,0.4797,47564
EURUSD=X,FX,ARIMAbased: 21 moving 3 1 1,Active,-10.381,8.613,-1.205,31.084,129,4.78,239,327,0.1767,0.2739,0.4505,39089
EURUSD=X,FX,ARIMAbased: 21 moving 3 1 1,Passive,-2.176,8.64,-0.252,16.217,1,0,1,0,0.4823,0,0.4823,47590
EURUSD=X,FX,ARIMAbased: 21 moving 3 1 2,Active,-3.27,8.568,-0.382,14.401,129,4.78,266,301,0.2222,0.2716,0.4938,46396
EURUSD=X,FX,ARIMAbased: 21 moving 3 1 2,Passive,-2.185,8.567,-0.255,16.242,1,0,1,0,0.4832,0,0.4832,47575
EURUSD=X,FX,ARIMAbased: 21 moving 3 1 3,Active,-10.453,8.419,-1.242,26.904,130,4.81,264,308,0.2063,0.2622,0.4685,38916
EURUSD=X,FX,ARIMAbased: 21 moving 3 1 3,Passive,-2.177,8.438,-0.258,16.252,1,0,1,0,0.4825,0,0.4825,47564
EURUSD=X,FX,ARIMAbased: 21 moving 3 2 1,Active,1.226,8.37,0.146,16.731,90,3.33,262,316,0.2249,0.2837,0.5087,51417
EURUSD=X,FX,ARIMAbased: 21 moving 3 2 1,Passive,-2.149,8.368,-0.257,16.261,1,0,1,0,0.4862,0,0.4862,47569
EURUSD=X,FX,ARIMAbased: 21 moving 3 2 2,Active,-5.995,8.44,-0.71,20.687,106,3.93,262,307,0.2102,0.2627,0.4729,43465
EURUSD=X,FX,ARIMAbased: 21 moving 3 2 2,Passive,-2.173,8.486,-0.256,16.248,1,0,1,0,0.4886,0,0.4886,47571
EURUSD=X,FX,ARIMAbased: 21 moving 3 2 3,Active,-9.844,8.392,-1.173,27.97,115,4.26,261,312,0.2,0.2609,0.4609,39471
EURUSD=X,FX,ARIMAbased: 21 moving 3 2 3,Passive,-2.156,8.451,-0.255,16.247,1,0,1,0,0.487,0,0.487,47574
EURUSD=X,FX,ARIMAbased: 126 expanding 0 1 1,Active,-6.335,8.24,-0.769,15.549,114,4.96,242,233,0.2416,0.2374,0.479,44186
EURUSD=X,FX,ARIMAbased: 126 expanding 0 1 1,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 0 1 2,Active,-4.51,8.243,-0.547,14.186,126,5.48,237,238,0.2479,0.2521,0.5,45826
EURUSD=X,FX,ARIMAbased: 126 expanding 0 1 2,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 0 1 3,Active,-1.284,8.249,-0.156,10.844,148,6.43,232,243,0.2395,0.2542,0.4937,48794
EURUSD=X,FX,ARIMAbased: 126 expanding 0 1 3,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 0 2 1,Active,-6.335,8.262,-0.767,21,21,0.91,229,247,0.2227,0.2458,0.4685,44186
EURUSD=X,FX,ARIMAbased: 126 expanding 0 2 1,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 0 2 2,Active,-4.792,8.266,-0.58,16.554,84,3.65,205,271,0.1975,0.2731,0.4706,45571
EURUSD=X,FX,ARIMAbased: 126 expanding 0 2 2,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 0 2 3,Active,-4.721,8.266,-0.571,16.732,88,3.83,224,252,0.2206,0.2542,0.4748,45635
EURUSD=X,FX,ARIMAbased: 126 expanding 0 2 3,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 1 1 1,Active,-5.248,8.243,-0.637,15.705,108,4.7,244,231,0.25,0.2395,0.4895,45159
EURUSD=X,FX,ARIMAbased: 126 expanding 1 1 1,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 1 1 2,Active,-3.672,8.247,-0.445,14.899,140,6.09,230,245,0.2248,0.2437,0.4685,46589
EURUSD=X,FX,ARIMAbased: 126 expanding 1 1 2,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 1 1 3,Active,-1.218,8.25,-0.148,10.757,147,6.39,236,239,0.2395,0.2437,0.4832,48856
EURUSD=X,FX,ARIMAbased: 126 expanding 1 1 3,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 1 2 1,Active,-8.685,8.255,-1.052,22.882,82,3.57,199,277,0.1849,0.2731,0.458,42115
EURUSD=X,FX,ARIMAbased: 126 expanding 1 2 1,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 1 2 2,Active,-5.981,8.264,-0.724,19.862,49,2.13,210,266,0.2059,0.2668,0.4727,44502
EURUSD=X,FX,ARIMAbased: 126 expanding 1 2 2,Passive,0.522,8.269,0.063,9.316,1,0,1,0,0.4937,0,0.4937,50494
EURUSD=X,FX,ARIMAbased: 126 expanding 1 2 3,Active,-11.309,8.225,-1.375,26.043,94,4.09,208,267,0.187,0.2542,0.4412,39858
EURUSD=X,FX,ARIMAbased: 126 expanding 1 2 3,Passive,0.544,8.27,0.066,9.316,1,0,1,0,0.4937,0,0.4937,50515
EURUSD=X,FX,ARIMAbased: 126 expanding 2 1 1,Active,-2.595,8.248,-0.315,13.097,140,6.09,236,239,0.2332,0.2395,0.4727,47577
EURUSD=X,FX,ARIMAbased: 126 expanding 2 1 1,Passive,0.544,8.27,0.066,9.316,1,0,1,0,0.4937,0,0.4937,50515
EURUSD=X,FX,ARIMAbased: 126 expanding 2 1 2,Active,-1.584,8.27,-0.192,13.637,140,6.09,244,232,0.2542,0.2458,0.5,48514
EURUSD=X,FX,ARIMAbased: 126 expanding 2 1 2,Passive,0.544,8.27,0.066,9.316,1,0,1,0,0.4937,0,0.4937,50515
EURUSD=X,FX,ARIMAbased: 126 expanding 2 1 3,Active,-3.991,8.248,-0.484,17.362,140,6.09,242,232,0.2521,0.2479,0.5,46298
EURUSD=X,FX,ARIMAbased: 126 expanding 2 1 3,Passive,0.544,8.27,0.066,9.316,1,0,1,0,0.4937,0,0.4937,50515
EURUSD=X,FX,ARIMAbased: 126 expanding 2 2 1,Active,-4.243,8.268,-0.513,15.231,96,4.17,218,258,0.2164,0.2626,0.479,46068
EURUSD=X,FX,ARIMAbased: 126 expanding 2 2 1,Passive,0.544,8.27,0.066,9.316,1,0,1,0,0.4937,0,0.4937,50515
EURUSD=X,FX,ARIMAbased: 126 expanding 2 2 2,Active,-8.449,8.239,-1.025,21.122,100,4.35,259,216,0.25,0.208,0.458,42321
EURUSD=X,FX,ARIMAbased: 126 expanding 2 2 2,Passive,0.544,8.27,0.066,9.316,1,0,1,0,0.4937,0,0.4937,50515
EURUSD=X,FX,ARIMAbased: 126 expanding 2 2 3,Active,-4.669,8.267,-0.565,14.932,123,5.35,231,245,0.2458,0.2626,0.5084,45682
EURUSD=X,FX,ARIMAbased: 126 expanding 2 2 3,Passive,0.544,8.27,0.066,9.316,1,0,1,0,0.4937,0,0.4937,50515
EURUSD=X,FX,ARIMAbased: 126 expanding 3 1 1,Active,-1.325,8.252,-0.161,10.071,135,5.87,232,243,0.2374,0.25,0.4874,48756
EURUSD=X,FX,ARIMAbased: 126 expanding 3 1 1,Passive,0.539,8.269,0.065,9.316,1,0,1,0,0.4937,0,0.4937,50510
EURUSD=X,FX,ARIMAbased: 126 expanding 3 1 2,Active,-2.487,8.249,-0.301,16.387,139,6.04,230,244,0.2353,0.2521,0.4874,47677
EURUSD=X,FX,ARIMAbased: 126 expanding 3 1 2,Passive,0.539,8.269,0.065,9.316,1,0,1,0,0.4937,0,0.4937,50510
EURUSD=X,FX,ARIMAbased: 126 expanding 3 1 3,Active,-1.421,8.298,-0.171,15.761,122,5.3,239,231,0.2458,0.2458,0.4915,48677
EURUSD=X,FX,ARIMAbased: 126 expanding 3 1 3,Passive,0.542,8.322,0.065,9.32,1,0,1,0,0.4915,0,0.4915,50508
EURUSD=X,FX,ARIMAbased: 126 expanding 3 2 1,Active,-4.281,8.267,-0.518,15.246,118,5.13,240,236,0.2395,0.2395,0.479,46034
