Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,AutoARIMAbased: 21 expanding,Active,-1.627,8.399,-0.194,15.549,137,5.07,287,294,0.2306,0.253,0.4836,48145
EURUSD=X,FX,AutoARIMAbased: 21 expanding,Passive,-2.1,8.398,-0.25,16.251,1,0,1,0,0.4854,0,0.4854,47612
EURUSD=X,FX,AutoARIMAbased: 21 moving,Active,-1.238,8.397,-0.147,13.424,125,4.63,278,303,0.2306,0.2685,0.4991,48585
EURUSD=X,FX,AutoARIMAbased: 21 moving,Passive,-2.1,8.398,-0.25,16.251,1,0,1,0,0.4854,0,0.4854,47612
EURUSD=X,FX,AutoARIMAbased: 63 expanding,Active,-3.005,8.332,-0.361,15.549,126,5.04,269,269,0.2356,0.2486,0.4842,46841
EURUSD=X,FX,AutoARIMAbased: 63 expanding,Passive,-1.976,8.348,-0.237,14.038,1,0,1,0,0.4861,0,0.4861,47911
EURUSD=X,FX,AutoARIMAbased: 63 moving,Active,4.708,8.323,0.566,10.096,122,4.88,293,245,0.2616,0.2301,0.4917,55171
EURUSD=X,FX,AutoARIMAbased: 63 moving,Passive,-1.976,8.348,-0.237,14.038,1,0,1,0,0.4861,0,0.4861,47911
EURUSD=X,FX,AutoARIMAbased: 126 expanding,Active,-6.383,8.242,-0.774,15.549,114,4.96,242,233,0.2416,0.2374,0.479,44143
EURUSD=X,FX,AutoARIMAbased: 126 expanding,Passive,0.573,8.271,0.069,9.316,1,0,1,0,0.4937,0,0.4937,50542
EURUSD=X,FX,AutoARIMAbased: 126 moving,Active,2.122,8.253,0.257,10.04,104,4.52,250,224,0.2674,0.2442,0.5116,52019
EURUSD=X,FX,AutoARIMAbased: 126 moving,Passive,0.57,8.278,0.069,9.316,1,0,1,0,0.4947,0,0.4947,50538
GBPUSD=X,FX,AutoARIMAbased: 21 expanding,Active,6.132,10.03,0.611,8.02,118,4.37,274,307,0.2427,0.2788,0.5215,57353
GBPUSD=X,FX,AutoARIMAbased: 21 expanding,Passive,-3.295,10.033,-0.328,21.238,1,0,1,0,0.4905,0,0.4905,46283
GBPUSD=X,FX,AutoARIMAbased: 21 moving,Active,-11.314,10.021,-1.129,26.048,128,4.74,302,279,0.2427,0.2306,0.4733,37910
GBPUSD=X,FX,AutoARIMAbased: 21 moving,Passive,-3.295,10.033,-0.328,21.238,1,0,1,0,0.4905,0,0.4905,46283
