Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,BollingerBreakout: 5 0.5,Active,-5.936,10.051,-0.591,69.975,395,1.9,1757,1771,0.1855,0.1907,0.3762,16829
EURUSD=X,FX,BollingerBreakout: 5 0.5,Passive,-0.857,11.526,-0.074,37.809,1,0,1,0,0.4984,0,0.4984,42904
EURUSD=X,FX,BollingerBreakout: 5 1,Active,-6.515,8.966,-0.727,71.454,126,0.61,1283,1289,0.1327,0.138,0.2707,15078
EURUSD=X,FX,BollingerBreakout: 5 1,Passive,-0.857,11.526,-0.074,37.809,1,0,1,0,0.4984,0,0.4984,42904
EURUSD=X,FX,BollingerBreakout: 5 1.5,Active,-5.535,7.63,-0.725,65.203,40,0.19,845,860,0.085,0.0934,0.1784,18153
EURUSD=X,FX,BollingerBreakout: 5 1.5,Passive,-0.857,11.526,-0.074,37.809,1,0,1,0,0.4984,0,0.4984,42904
EURUSD=X,FX,BollingerBreakout: 5 2,Active,-4.713,6.639,-0.71,59.345,14,0.07,535,519,0.0537,0.0549,0.1086,21179
EURUSD=X,FX,BollingerBreakout: 5 2,Passive,-0.857,11.526,-0.074,37.809,1,0,1,0,0.4984,0,0.4984,42904
EURUSD=X,FX,BollingerBreakout: 10 0.5,Active,-6.162,10.129,-0.608,72,201,0.97,1749,1792,0.1849,0.1916,0.3764,16144
EURUSD=X,FX,BollingerBreakout: 10 0.5,Passive,-0.813,11.532,-0.07,37.809,1,0,1,0,0.4985,0,0.4985,43250
EURUSD=X,FX,BollingerBreakout: 10 1,Active,-6.092,8.977,-0.679,67.656,44,0.21,1265,1271,0.1297,0.1353,0.265,16361
EURUSD=X,FX,BollingerBreakout: 10 1,Passive,-0.813,11.532,-0.07,37.809,1,0,1,0,0.4985,0,0.4985,43250
EURUSD=X,FX,BollingerBreakout: 10 1.5,Active,-4.753,7.201,-0.66,59.191,9,0.04,774,776,0.0777,0.0826,0.1603,21041
EURUSD=X,FX,BollingerBreakout: 10 1.5,Passive,-0.813,11.532,-0.07,37.809,1,0,1,0,0.4985,0,0.4985,43250
EURUSD=X,FX,BollingerBreakout: 10 2,Active,-3.865,5.751,-0.672,51.444,4,0.02,423,430,0.0384,0.0473,0.0857,24816
EURUSD=X,FX,BollingerBreakout: 10 2,Passive,-0.813,11.532,-0.07,37.809,1,0,1,0,0.4985,0,0.4985,43250
EURUSD=X,FX,BollingerBreakout: 15 0.5,Active,-5.383,10.066,-0.535,68.246,134,0.64,1753,1792,0.1866,0.194,0.3806,18719
EURUSD=X,FX,BollingerBreakout: 15 0.5,Passive,-0.82,11.538,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43203
EURUSD=X,FX,BollingerBreakout: 15 1,Active,-4.603,8.977,-0.513,61.454,19,0.09,1258,1273,0.1337,0.1354,0.2691,21660
EURUSD=X,FX,BollingerBreakout: 15 1,Passive,-0.82,11.538,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43203
EURUSD=X,FX,BollingerBreakout: 15 1.5,Active,-3.588,7.55,-0.475,50.024,4,0.02,753,766,0.0785,0.0823,0.1607,26134
EURUSD=X,FX,BollingerBreakout: 15 1.5,Passive,-0.82,11.538,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43203
EURUSD=X,FX,BollingerBreakout: 15 2,Active,-2.355,5.283,-0.446,39.627,1,0,391,382,0.0387,0.0402,0.0789,32748
EURUSD=X,FX,BollingerBreakout: 15 2,Passive,-0.82,11.538,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43203
EURUSD=X,FX,BollingerBreakout: 20 0.5,Active,-5.092,10.115,-0.503,67.253,77,0.37,1718,1770,0.1859,0.1924,0.3784,19791
EURUSD=X,FX,BollingerBreakout: 20 0.5,Passive,-0.826,11.543,-0.072,37.808,1,0,1,0,0.4985,0,0.4985,43159
EURUSD=X,FX,BollingerBreakout: 20 1,Active,-4.605,8.986,-0.512,62.356,16,0.08,1228,1282,0.1316,0.139,0.2705,21671
EURUSD=X,FX,BollingerBreakout: 20 1,Passive,-0.826,11.543,-0.072,37.808,1,0,1,0,0.4985,0,0.4985,43159
EURUSD=X,FX,BollingerBreakout: 20 1.5,Active,-3.866,7.672,-0.504,53.712,5,0.02,743,759,0.0761,0.0832,0.1593,24851
EURUSD=X,FX,BollingerBreakout: 20 1.5,Passive,-0.826,11.543,-0.072,37.808,1,0,1,0,0.4985,0,0.4985,43159
EURUSD=X,FX,BollingerBreakout: 20 2,Active,-3.207,6.005,-0.534,46.285,2,0.01,373,389,0.0365,0.0414,0.0779,28049
EURUSD=X,FX,BollingerBreakout: 20 2,Passive,-0.826,11.543,-0.072,37.808,1,0,1,0,0.4985,0,0.4985,43159
EURUSD=X,FX,BollingerBreakout: 25 0.5,Active,-4.645,10.113,-0.459,64.681,55,0.27,1700,1771,0.1846,0.1935,0.3781,21530
EURUSD=X,FX,BollingerBreakout: 25 0.5,Passive,-0.814,11.548,-0.07,37.809,1,0,1,0,0.4987,0,0.4987,43262
EURUSD=X,FX,BollingerBreakout: 25 1,Active,-3.65,9.021,-0.405,55.418,11,0.05,1207,1307,0.1322,0.1438,0.276,25877
EURUSD=X,FX,BollingerBreakout: 25 1,Passive,-0.814,11.548,-0.07,37.809,1,0,1,0,0.4987,0,0.4987,43262
EURUSD=X,FX,BollingerBreakout: 25 1.5,Active,-3.774,7.481,-0.504,53.355,3,0.01,743,767,0.0768,0.0829,0.1597,25292
EURUSD=X,FX,BollingerBreakout: 25 1.5,Passive,-0.814,11.548,-0.07,37.809,1,0,1,0,0.4987,0,0.4987,43262
EURUSD=X,FX,BollingerBreakout: 25 2,Active,-2.705,5.897,-0.459,42.114,1,0,363,389,0.0358,0.0423,0.0782,30758
EURUSD=X,FX,BollingerBreakout: 25 2,Passive,-0.814,11.548,-0.07,37.809,1,0,1,0,0.4987,0,0.4987,43262
