Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,DonchianChannel: 5,Active,-1.454,11.664,-0.125,51.95,222,1.07,2309,2171,0.256,0.24,0.496,38536
EURUSD=X,FX,DonchianChannel: 5,Passive,-0.806,11.53,-0.07,37.809,1,0,1,0,0.4987,0,0.4987,43299
EURUSD=X,FX,DonchianChannel: 6,Active,-2.232,11.663,-0.191,57.24,201,0.97,2273,2207,0.2493,0.2415,0.4908,33474
EURUSD=X,FX,DonchianChannel: 6,Passive,-0.806,11.53,-0.07,37.809,1,0,1,0,0.4987,0,0.4987,43299
EURUSD=X,FX,DonchianChannel: 7,Active,-3.628,11.663,-0.311,66.067,183,0.88,2280,2199,0.2478,0.2384,0.4863,25923
EURUSD=X,FX,DonchianChannel: 7,Passive,-0.821,11.531,-0.071,37.809,1,0,1,0,0.4985,0,0.4985,43189
EURUSD=X,FX,DonchianChannel: 8,Active,-3.37,11.673,-0.289,64.631,168,0.81,2186,2285,0.238,0.2487,0.4867,27216
EURUSD=X,FX,DonchianChannel: 8,Passive,-0.837,11.54,-0.073,37.808,1,0,1,0,0.4983,0,0.4983,43072
EURUSD=X,FX,DonchianChannel: 9,Active,-4.469,11.677,-0.383,68.946,162,0.78,2200,2271,0.238,0.2456,0.4836,22216
EURUSD=X,FX,DonchianChannel: 9,Passive,-0.837,11.54,-0.073,37.808,1,0,1,0,0.4983,0,0.4983,43072
EURUSD=X,FX,DonchianChannel: 10,Active,-3.22,11.705,-0.275,58.175,142,0.69,2190,2265,0.2391,0.2469,0.486,28034
EURUSD=X,FX,DonchianChannel: 10,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 11,Active,-3.353,11.705,-0.286,58.011,136,0.66,2183,2272,0.2386,0.2483,0.4869,27359
EURUSD=X,FX,DonchianChannel: 11,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 12,Active,-2.994,11.706,-0.256,53.569,126,0.61,2164,2291,0.237,0.251,0.488,29212
EURUSD=X,FX,DonchianChannel: 12,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 13,Active,-2.888,11.706,-0.247,51.302,120,0.58,2201,2254,0.2424,0.2478,0.4902,29785
EURUSD=X,FX,DonchianChannel: 13,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 14,Active,-5.023,12.003,-0.418,67.127,112,0.54,2186,2269,0.242,0.2505,0.4925,20106
EURUSD=X,FX,DonchianChannel: 14,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 15,Active,-5.74,12.005,-0.478,71.249,110,0.53,2194,2261,0.2424,0.2492,0.4916,17585
EURUSD=X,FX,DonchianChannel: 15,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 16,Active,-5.433,12.005,-0.453,68.679,103,0.5,2171,2284,0.2391,0.251,0.49,18623
EURUSD=X,FX,DonchianChannel: 16,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 17,Active,-3.839,12.007,-0.32,61.365,91,0.44,2231,2224,0.2483,0.2467,0.4949,25029
EURUSD=X,FX,DonchianChannel: 17,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 18,Active,-2.179,11.98,-0.182,51.633,83,0.4,2235,2220,0.2496,0.2471,0.4967,33868
EURUSD=X,FX,DonchianChannel: 18,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 19,Active,-1.846,11.979,-0.154,51.633,79,0.38,2196,2259,0.2453,0.2519,0.4972,35966
EURUSD=X,FX,DonchianChannel: 19,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 20,Active,-2.27,11.979,-0.189,52.535,79,0.38,2191,2264,0.2449,0.2525,0.4974,33321
EURUSD=X,FX,DonchianChannel: 20,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 21,Active,-1.908,11.98,-0.159,52.536,77,0.37,2209,2246,0.2471,0.2507,0.4979,35567
EURUSD=X,FX,DonchianChannel: 21,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 22,Active,-0.742,11.977,-0.062,41.138,71,0.34,2108,2347,0.237,0.2631,0.5001,43828
EURUSD=X,FX,DonchianChannel: 22,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 23,Active,-1.013,11.978,-0.085,43.914,71,0.34,2113,2342,0.2375,0.2624,0.4999,41761
EURUSD=X,FX,DonchianChannel: 23,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 24,Active,-1.152,11.978,-0.096,43.914,71,0.34,2120,2335,0.2379,0.2613,0.4992,40740
EURUSD=X,FX,DonchianChannel: 24,Passive,-0.914,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42509
EURUSD=X,FX,DonchianChannel: 25,Active,-0.355,11.977,-0.03,40.159,65,0.31,2180,2275,0.2456,0.2557,0.5012,46954
