Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,sGARCH : 126 21 moving snorm close,Active,-0.898,11.906,-0.075,29.393,132,0.67,3072,1165,0.3566,0.1348,0.4914,42965
EURUSD=X,FX,sGARCH : 126 21 moving snorm close,Passive,-1.47,11.768,-0.125,37.809,1,0,1,0,0.4959,0,0.4959,38977
EURUSD=X,FX,sGARCH : 126 21 expanding snorm close,Active,-0.502,11.906,-0.042,26.028,150,0.76,3074,1163,0.3578,0.1355,0.4933,45944
EURUSD=X,FX,sGARCH : 126 21 expanding snorm close,Passive,-1.47,11.768,-0.125,37.809,1,0,1,0,0.4959,0,0.4959,38977
EURUSD=X,FX,sGARCH : 252 21 moving snorm close,Active,0.964,8.904,0.108,24.083,92,0.5,3182,803,0.3955,0.1001,0.4956,58194
EURUSD=X,FX,sGARCH : 252 21 moving snorm close,Passive,-1.437,8.906,-0.161,36.375,1,0,1,0,0.4969,0,0.4969,39770
EURUSD=X,FX,sGARCH : 252 21 expanding snorm close,Active,0.895,8.904,0.101,24.819,88,0.48,3135,850,0.3897,0.1059,0.4956,57561
EURUSD=X,FX,sGARCH : 252 21 expanding snorm close,Passive,-1.437,8.906,-0.161,36.375,1,0,1,0,0.4969,0,0.4969,39770
EURUSD=X,FX,eGARCH : 126 21 moving snorm close,Active,-1.037,11.905,-0.087,36.64,404,2.05,3070,1167,0.3616,0.1409,0.5025,41959
EURUSD=X,FX,eGARCH : 126 21 moving snorm close,Passive,-1.47,11.768,-0.125,37.809,1,0,1,0,0.4959,0,0.4959,38977
EURUSD=X,FX,eGARCH : 126 21 expanding snorm close,Active,-1.499,11.906,-0.126,44.248,396,2.01,3061,1176,0.3609,0.1416,0.5025,38786
EURUSD=X,FX,eGARCH : 126 21 expanding snorm close,Passive,-1.471,11.768,-0.125,37.809,1,0,1,0,0.4959,0,0.4959,38973
EURUSD=X,FX,eGARCH : 252 21 expanding snorm close,Active,-1.61,8.907,-0.181,27.731,322,1.75,3032,953,0.3749,0.1167,0.4916,38682
EURUSD=X,FX,eGARCH : 252 21 expanding snorm close,Passive,-1.438,8.906,-0.161,36.375,1,0,1,0,0.4969,0,0.4969,39762
GBPUSD=X,FX,sGARCH : 126 21 moving snorm close,Active,0.171,9.708,0.018,32.512,144,0.73,3156,1093,0.3627,0.128,0.4907,51465
