Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,MACD: 9 25 7,Active,-4.546,11.686,-0.389,62.372,464,2.24,2252,2204,0.2455,0.2401,0.4856,21963
EURUSD=X,FX,MACD: 9 25 7,Passive,-0.918,11.555,-0.079,37.809,1,0,1,0,0.4982,0,0.4982,42479
EURUSD=X,FX,MACD: 9 25 8,Active,-4.143,11.686,-0.355,58.702,448,2.16,2254,2201,0.2456,0.2395,0.4851,23663
EURUSD=X,FX,MACD: 9 25 8,Passive,-0.916,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42495
EURUSD=X,FX,MACD: 9 25 9,Active,-4.693,11.688,-0.402,63.616,432,2.09,2245,2209,0.2443,0.2402,0.4845,21381
EURUSD=X,FX,MACD: 9 25 9,Passive,-0.917,11.557,-0.079,37.808,1,0,1,0,0.4982,0,0.4982,42486
EURUSD=X,FX,MACD: 9 25 10,Active,-4.386,11.689,-0.375,62.262,412,1.99,2242,2211,0.2446,0.2412,0.4857,22633
EURUSD=X,FX,MACD: 9 25 10,Passive,-0.923,11.559,-0.08,37.809,1,0,1,0,0.4981,0,0.4981,42440
EURUSD=X,FX,MACD: 9 25 11,Active,-4.797,11.69,-0.41,64.874,396,1.91,2243,2209,0.2451,0.2412,0.4863,20981
EURUSD=X,FX,MACD: 9 25 11,Passive,-0.922,11.56,-0.08,37.809,1,0,1,0,0.4982,0,0.4982,42453
EURUSD=X,FX,MACD: 9 26 7,Active,-4.387,11.687,-0.375,60.579,466,2.25,2248,2207,0.2447,0.24,0.4846,22623
EURUSD=X,FX,MACD: 9 26 7,Passive,-0.916,11.556,-0.079,37.808,1,0,1,0,0.4983,0,0.4983,42495
EURUSD=X,FX,MACD: 9 26 8,Active,-3.961,11.688,-0.339,58.946,440,2.13,2245,2209,0.2452,0.2411,0.4863,24474
EURUSD=X,FX,MACD: 9 26 8,Passive,-0.917,11.557,-0.079,37.808,1,0,1,0,0.4982,0,0.4982,42486
