Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,RSI: 10 20 50,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 20 50,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 20 55,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 20 55,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 20 60,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 20 60,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 20 65,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 20 65,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 20 70,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 20 70,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 25 50,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 25 50,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 25 55,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 25 55,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 25 60,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 25 60,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 25 65,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 25 65,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 25 70,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 25 70,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 30 50,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 30 50,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 30 55,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 30 55,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 30 60,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 30 60,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 30 65,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 30 65,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 30 70,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 30 70,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 35 50,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 35 50,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 35 55,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 35 55,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
EURUSD=X,FX,RSI: 10 35 60,Active,-0.012,11.979,-0.001,21.764,1,0,0,4478,0,0.4967,0.4967,49891
EURUSD=X,FX,RSI: 10 35 60,Passive,-0.817,11.533,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43220
