Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,Stop_and_reversal: 0.01 0.15,Active,-1.219,11.658,-0.105,42.373,240,1.15,2262,2226,0.2516,0.2469,0.4984,40190
EURUSD=X,FX,Stop_and_reversal: 0.01 0.15,Passive,-0.964,11.526,-0.084,37.808,1,0,1,0,0.4982,0,0.4982,42076
EURUSD=X,FX,Stop_and_reversal: 0.01 0.2,Active,-1.011,11.658,-0.087,41.71,244,1.17,2269,2219,0.2525,0.2462,0.4987,41724
EURUSD=X,FX,Stop_and_reversal: 0.01 0.2,Passive,-0.964,11.526,-0.084,37.808,1,0,1,0,0.4982,0,0.4982,42076
EURUSD=X,FX,Stop_and_reversal: 0.01 0.25,Active,-1.011,11.658,-0.087,41.71,244,1.17,2269,2219,0.2525,0.2462,0.4987,41724
EURUSD=X,FX,Stop_and_reversal: 0.01 0.25,Passive,-0.964,11.526,-0.084,37.808,1,0,1,0,0.4982,0,0.4982,42076
EURUSD=X,FX,Stop_and_reversal: 0.01 0.3,Active,-1.011,11.658,-0.087,41.71,244,1.17,2269,2219,0.2525,0.2462,0.4987,41724
EURUSD=X,FX,Stop_and_reversal: 0.01 0.3,Passive,-0.964,11.526,-0.084,37.808,1,0,1,0,0.4982,0,0.4982,42076
EURUSD=X,FX,Stop_and_reversal: 0.01 0.35,Active,-1.011,11.658,-0.087,41.71,244,1.17,2269,2219,0.2525,0.2462,0.4987,41724
EURUSD=X,FX,Stop_and_reversal: 0.01 0.35,Passive,-0.964,11.526,-0.084,37.808,1,0,1,0,0.4982,0,0.4982,42076
EURUSD=X,FX,Stop_and_reversal: 0.02 0.15,Active,-5.961,11.654,-0.511,72.44,406,1.95,2270,2218,0.2424,0.2369,0.4793,16735
EURUSD=X,FX,Stop_and_reversal: 0.02 0.15,Passive,-0.964,11.526,-0.084,37.808,1,0,1,0,0.4982,0,0.4982,42076
EURUSD=X,FX,Stop_and_reversal: 0.02 0.2,Active,-5.961,11.654,-0.511,72.44,406,1.95,2270,2218,0.2424,0.2369,0.4793,16735
EURUSD=X,FX,Stop_and_reversal: 0.02 0.2,Passive,-0.964,11.526,-0.084,37.808,1,0,1,0,0.4982,0,0.4982,42076
