Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,SMA1M: 10 EMA,Active,-5.477,11.963,-0.458,70.897,439,2.11,2187,2286,0.2379,0.2489,0.4868,18385
EURUSD=X,FX,SMA1M: 10 EMA,Passive,-0.823,11.535,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43175
EURUSD=X,FX,SMA1M: 10 SMA,Active,-5.85,11.963,-0.489,72.404,494,2.38,2285,2190,0.2475,0.2368,0.4844,17137
EURUSD=X,FX,SMA1M: 10 SMA,Passive,-0.823,11.535,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43175
EURUSD=X,FX,SMA1M: 20 EMA,Active,-4.471,11.976,-0.373,62.547,334,1.61,2175,2291,0.2373,0.2512,0.4886,22230
EURUSD=X,FX,SMA1M: 20 EMA,Passive,-0.845,11.546,-0.073,37.809,1,0,1,0,0.4982,0,0.4982,43021
EURUSD=X,FX,SMA1M: 20 SMA,Active,-1.792,11.679,-0.153,42.708,328,1.58,2208,2258,0.2436,0.2497,0.4933,36292
EURUSD=X,FX,SMA1M: 20 SMA,Passive,-0.845,11.546,-0.073,37.809,1,0,1,0,0.4982,0,0.4982,43021
EURUSD=X,FX,SMA1M: 30 EMA,Active,-2.146,11.987,-0.179,51.522,258,1.25,2140,2316,0.2379,0.2581,0.496,34067
EURUSD=X,FX,SMA1M: 30 EMA,Passive,-0.875,11.557,-0.076,37.808,1,0,1,0,0.4982,0,0.4982,42805
EURUSD=X,FX,SMA1M: 30 SMA,Active,-1.567,11.985,-0.131,44.219,264,1.28,2169,2287,0.2408,0.2543,0.4951,37813
EURUSD=X,FX,SMA1M: 30 SMA,Passive,-0.875,11.557,-0.076,37.808,1,0,1,0,0.4982,0,0.4982,42805
EURUSD=X,FX,SMA1M: 40 EMA,Active,-0.242,11.996,-0.02,39.342,238,1.15,2139,2303,0.2373,0.2557,0.493,47910
EURUSD=X,FX,SMA1M: 40 EMA,Passive,-0.962,11.567,-0.083,37.809,1,0,1,0,0.498,0,0.498,42158
EURUSD=X,FX,SMA1M: 40 SMA,Active,0.43,11.995,0.036,33.702,214,1.03,2191,2251,0.2449,0.2515,0.4964,53928
EURUSD=X,FX,SMA1M: 40 SMA,Passive,-0.962,11.567,-0.083,37.809,1,0,1,0,0.498,0,0.498,42158
EURUSD=X,FX,SMA1M: 50 EMA,Active,-0.508,12.009,-0.042,37.769,216,1.05,2167,2269,0.2417,0.2536,0.4953,45715
