Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,SMA2: 10 55 EMA,Active,-0.589,11.991,-0.049,41.827,128,0.62,2203,2227,0.2492,0.2521,0.5014,45070
EURUSD=X,FX,SMA2: 10 55 EMA,Passive,-1.037,11.583,-0.09,37.808,1,0,1,0,0.4977,0,0.4977,41631
EURUSD=X,FX,SMA2: 10 55 SMA,Active,1.256,11.99,0.105,23.844,114,0.55,2135,2295,0.2451,0.2632,0.5084,62267
EURUSD=X,FX,SMA2: 10 55 SMA,Passive,-1.037,11.583,-0.09,37.808,1,0,1,0,0.4977,0,0.4977,41631
EURUSD=X,FX,SMA2: 10 65 EMA,Active,-0.564,12.004,-0.047,42.039,104,0.51,2194,2226,0.2502,0.2543,0.5045,45281
EURUSD=X,FX,SMA2: 10 65 EMA,Passive,-1.028,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41710
EURUSD=X,FX,SMA2: 10 65 SMA,Active,0.836,12.003,0.07,28.204,110,0.54,2161,2259,0.2473,0.2584,0.5057,57866
EURUSD=X,FX,SMA2: 10 65 SMA,Passive,-1.028,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41710
EURUSD=X,FX,SMA2: 10 75 EMA,Active,-0.996,12.015,-0.083,46.218,94,0.46,2182,2228,0.2483,0.2546,0.5029,41966
EURUSD=X,FX,SMA2: 10 75 EMA,Passive,-1.131,11.605,-0.097,37.808,1,0,1,0,0.4968,0,0.4968,40975
EURUSD=X,FX,SMA2: 10 75 SMA,Active,-0.714,12.015,-0.059,30.396,96,0.47,2215,2195,0.2526,0.2515,0.5041,44107
EURUSD=X,FX,SMA2: 10 75 SMA,Passive,-1.131,11.605,-0.097,37.808,1,0,1,0,0.4968,0,0.4968,40975
EURUSD=X,FX,SMA2: 10 85 EMA,Active,-0.767,12.026,-0.064,44.088,86,0.42,2156,2244,0.2457,0.2566,0.5023,43709
EURUSD=X,FX,SMA2: 10 85 EMA,Passive,-1.123,11.616,-0.097,37.809,1,0,1,0,0.497,0,0.497,41052
EURUSD=X,FX,SMA2: 10 85 SMA,Active,-0.817,12.027,-0.068,37.693,90,0.44,2210,2190,0.2541,0.2527,0.5068,43325
EURUSD=X,FX,SMA2: 10 85 SMA,Passive,-1.123,11.616,-0.097,37.809,1,0,1,0,0.497,0,0.497,41052
EURUSD=X,FX,SMA2: 10 95 EMA,Active,-0.2,12.038,-0.017,36.071,72,0.35,2133,2257,0.2451,0.2601,0.5052,48289
EURUSD=X,FX,SMA2: 10 95 EMA,Passive,-1.099,11.627,-0.095,37.809,1,0,1,0,0.497,0,0.497,41246
EURUSD=X,FX,SMA2: 10 95 SMA,Active,-0.02,12.038,-0.002,33.555,80,0.39,2180,2210,0.2517,0.2558,0.5075,49825
EURUSD=X,FX,SMA2: 10 95 SMA,Passive,-1.099,11.627,-0.095,37.809,1,0,1,0,0.497,0,0.497,41246
EURUSD=X,FX,SMA2: 10 105 EMA,Active,1.462,12.049,0.121,27.077,68,0.33,2107,2273,0.2454,0.2651,0.5105,64352
EURUSD=X,FX,SMA2: 10 105 EMA,Passive,-1.062,11.639,-0.091,37.809,1,0,1,0,0.4973,0,0.4973,41528
EURUSD=X,FX,SMA2: 10 105 SMA,Active,0.23,12.05,0.019,32.661,72,0.35,2151,2229,0.2486,0.258,0.5066,52035
EURUSD=X,FX,SMA2: 10 105 SMA,Passive,-1.062,11.639,-0.091,37.809,1,0,1,0,0.4973,0,0.4973,41528
EURUSD=X,FX,SMA2: 10 115 EMA,Active,1.104,12.061,0.092,28.073,60,0.3,2074,2296,0.2421,0.268,0.5101,60483
EURUSD=X,FX,SMA2: 10 115 EMA,Passive,-1.013,11.651,-0.087,37.808,1,0,1,0,0.4975,0,0.4975,41910
EURUSD=X,FX,SMA2: 10 115 SMA,Active,0.397,12.062,0.033,26.764,76,0.37,2108,2262,0.2437,0.2616,0.5053,53553
EURUSD=X,FX,SMA2: 10 115 SMA,Passive,-1.013,11.651,-0.087,37.808,1,0,1,0,0.4975,0,0.4975,41910
EURUSD=X,FX,SMA2: 20 55 EMA,Active,-0.95,11.993,-0.079,43.202,96,0.47,2250,2180,0.2558,0.2481,0.5038,42276
EURUSD=X,FX,SMA2: 20 55 EMA,Passive,-1.037,11.583,-0.09,37.808,1,0,1,0,0.4977,0,0.4977,41631
EURUSD=X,FX,SMA2: 20 55 SMA,Active,-1.87,12.011,-0.156,39.218,88,0.43,2178,2252,0.2447,0.2524,0.4971,35878
EURUSD=X,FX,SMA2: 20 55 SMA,Passive,-1.037,11.583,-0.09,37.808,1,0,1,0,0.4977,0,0.4977,41631
EURUSD=X,FX,SMA2: 20 65 EMA,Active,-1.204,12.004,-0.1,45.487,80,0.39,2213,2207,0.2523,0.252,0.5043,40428
EURUSD=X,FX,SMA2: 20 65 EMA,Passive,-1.028,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41710
EURUSD=X,FX,SMA2: 20 65 SMA,Active,0.603,12.003,0.05,25.598,88,0.43,2184,2236,0.248,0.2536,0.5016,55559
EURUSD=X,FX,SMA2: 20 65 SMA,Passive,-1.028,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41710
EURUSD=X,FX,SMA2: 20 75 EMA,Active,-1.163,12.015,-0.097,42.233,70,0.34,2182,2228,0.2469,0.2533,0.5002,40741
EURUSD=X,FX,SMA2: 20 75 EMA,Passive,-1.131,11.605,-0.097,37.808,1,0,1,0,0.4968,0,0.4968,40975
EURUSD=X,FX,SMA2: 20 75 SMA,Active,1.076,12.012,0.09,28.373,72,0.35,2214,2196,0.254,0.2522,0.5061,60294
EURUSD=X,FX,SMA2: 20 75 SMA,Passive,-1.131,11.605,-0.097,37.808,1,0,1,0,0.4968,0,0.4968,40975
EURUSD=X,FX,SMA2: 20 85 EMA,Active,0.165,12.026,0.014,30.107,56,0.27,2159,2241,0.2459,0.2561,0.502,51458
EURUSD=X,FX,SMA2: 20 85 EMA,Passive,-1.123,11.616,-0.097,37.809,1,0,1,0,0.497,0,0.497,41052
EURUSD=X,FX,SMA2: 20 85 SMA,Active,0.133,12.025,0.011,29.626,70,0.34,2235,2165,0.2559,0.2484,0.5043,51178
EURUSD=X,FX,SMA2: 20 85 SMA,Passive,-1.123,11.616,-0.097,37.809,1,0,1,0,0.497,0,0.497,41052
EURUSD=X,FX,SMA2: 20 95 EMA,Active,0.974,12.037,0.081,27.196,52,0.25,2127,2263,0.2442,0.2606,0.5048,59193
EURUSD=X,FX,SMA2: 20 95 EMA,Passive,-1.099,11.627,-0.095,37.809,1,0,1,0,0.497,0,0.497,41246
EURUSD=X,FX,SMA2: 20 95 SMA,Active,0.731,12.038,0.061,29.226,56,0.27,2208,2182,0.254,0.2517,0.5057,56764
EURUSD=X,FX,SMA2: 20 95 SMA,Passive,-1.099,11.627,-0.095,37.809,1,0,1,0,0.497,0,0.497,41246
EURUSD=X,FX,SMA2: 20 105 EMA,Active,1.68,12.048,0.139,26.634,46,0.23,2096,2284,0.2422,0.2642,0.5064,66790
EURUSD=X,FX,SMA2: 20 105 EMA,Passive,-1.062,11.639,-0.091,37.809,1,0,1,0,0.4973,0,0.4973,41528
EURUSD=X,FX,SMA2: 20 105 SMA,Active,1.17,12.05,0.097,26.633,56,0.27,2192,2188,0.2518,0.2518,0.5037,61203
EURUSD=X,FX,SMA2: 20 105 SMA,Passive,-1.062,11.639,-0.091,37.809,1,0,1,0,0.4973,0,0.4973,41528
EURUSD=X,FX,SMA2: 20 115 EMA,Active,1.094,12.061,0.091,30.21,44,0.22,2085,2285,0.2414,0.2645,0.5059,60383
EURUSD=X,FX,SMA2: 20 115 EMA,Passive,-1.013,11.651,-0.087,37.808,1,0,1,0,0.4975,0,0.4975,41910
EURUSD=X,FX,SMA2: 20 115 SMA,Active,1.687,12.06,0.14,25.886,56,0.28,2164,2206,0.2501,0.2549,0.505,66829
EURUSD=X,FX,SMA2: 20 115 SMA,Passive,-1.013,11.651,-0.087,37.808,1,0,1,0,0.4975,0,0.4975,41910
EURUSD=X,FX,SMA2: 30 55 EMA,Active,-0.478,11.993,-0.04,40.99,80,0.39,2241,2189,0.2555,0.2499,0.5054,45961
EURUSD=X,FX,SMA2: 30 55 EMA,Passive,-1.037,11.583,-0.09,37.808,1,0,1,0,0.4977,0,0.4977,41631
EURUSD=X,FX,SMA2: 30 55 SMA,Active,-0.159,11.99,-0.013,25.883,82,0.4,2149,2281,0.2422,0.2571,0.4993,48620
EURUSD=X,FX,SMA2: 30 55 SMA,Passive,-1.037,11.583,-0.09,37.808,1,0,1,0,0.4977,0,0.4977,41631
EURUSD=X,FX,SMA2: 30 65 EMA,Active,-0.143,12.003,-0.012,30.856,68,0.33,2207,2213,0.2505,0.2514,0.5018,48761
EURUSD=X,FX,SMA2: 30 65 EMA,Passive,-1.028,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41710
EURUSD=X,FX,SMA2: 30 65 SMA,Active,1.364,12.001,0.114,26.738,68,0.33,2196,2224,0.2505,0.2536,0.5041,63408
EURUSD=X,FX,SMA2: 30 65 SMA,Passive,-1.028,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41710
EURUSD=X,FX,SMA2: 30 75 EMA,Active,0.753,12.013,0.063,27.855,54,0.26,2172,2238,0.2476,0.256,0.5036,57011
EURUSD=X,FX,SMA2: 30 75 EMA,Passive,-1.131,11.605,-0.097,37.808,1,0,1,0,0.4968,0,0.4968,40975
EURUSD=X,FX,SMA2: 30 75 SMA,Active,0.464,12.012,0.039,26.377,68,0.33,2209,2201,0.2515,0.2515,0.5029,54222
EURUSD=X,FX,SMA2: 30 75 SMA,Passive,-1.131,11.605,-0.097,37.808,1,0,1,0,0.4968,0,0.4968,40975
EURUSD=X,FX,SMA2: 30 85 EMA,Active,1.804,12.024,0.15,25.903,44,0.22,2135,2265,0.2459,0.2609,0.5068,68320
EURUSD=X,FX,SMA2: 30 85 EMA,Passive,-1.123,11.616,-0.097,37.809,1,0,1,0,0.497,0,0.497,41052
EURUSD=X,FX,SMA2: 30 85 SMA,Active,1.487,12.024,0.124,24.543,56,0.27,2234,2166,0.2568,0.2495,0.5064,64697
EURUSD=X,FX,SMA2: 30 85 SMA,Passive,-1.123,11.616,-0.097,37.809,1,0,1,0,0.497,0,0.497,41052
EURUSD=X,FX,SMA2: 30 95 EMA,Active,1.098,12.036,0.091,24.629,40,0.2,2107,2283,0.2421,0.2624,0.5046,60473
EURUSD=X,FX,SMA2: 30 95 EMA,Passive,-1.099,11.627,-0.095,37.809,1,0,1,0,0.497,0,0.497,41246
EURUSD=X,FX,SMA2: 30 95 SMA,Active,2.43,12.036,0.202,23.281,50,0.25,2187,2203,0.2531,0.2554,0.5084,75961
EURUSD=X,FX,SMA2: 30 95 SMA,Passive,-1.099,11.627,-0.095,37.809,1,0,1,0,0.497,0,0.497,41246
EURUSD=X,FX,SMA2: 30 105 EMA,Active,1.39,12.049,0.115,23.609,38,0.19,2089,2291,0.2413,0.2644,0.5057,63563
EURUSD=X,FX,SMA2: 30 105 EMA,Passive,-1.062,11.639,-0.091,37.809,1,0,1,0,0.4973,0,0.4973,41528
EURUSD=X,FX,SMA2: 30 105 SMA,Active,2.654,12.048,0.22,25.383,42,0.21,2166,2214,0.2521,0.2578,0.5098,78833
EURUSD=X,FX,SMA2: 30 105 SMA,Passive,-1.062,11.639,-0.091,37.809,1,0,1,0,0.4973,0,0.4973,41528
EURUSD=X,FX,SMA2: 30 115 EMA,Active,1.302,12.06,0.108,22.572,40,0.2,2081,2289,0.241,0.2645,0.5055,62571
EURUSD=X,FX,SMA2: 30 115 EMA,Passive,-1.013,11.651,-0.087,37.808,1,0,1,0,0.4975,0,0.4975,41910
EURUSD=X,FX,SMA2: 30 115 SMA,Active,3.636,12.058,0.302,27.237,44,0.22,2155,2215,0.251,0.2579,0.5089,92882
EURUSD=X,FX,SMA2: 30 115 SMA,Passive,-1.013,11.651,-0.087,37.808,1,0,1,0,0.4975,0,0.4975,41910
EURUSD=X,FX,SMA2: 40 55 EMA,Active,-0.132,11.992,-0.011,34.947,82,0.4,2222,2208,0.251,0.2497,0.5007,48851
EURUSD=X,FX,SMA2: 40 55 EMA,Passive,-1.037,11.583,-0.09,37.808,1,0,1,0,0.4977,0,0.4977,41631
EURUSD=X,FX,SMA2: 40 55 SMA,Active,0.62,12.018,0.052,34.149,91,0.44,2117,2313,0.2427,0.2643,0.507,55736
EURUSD=X,FX,SMA2: 40 55 SMA,Passive,-1.037,11.583,-0.09,37.808,1,0,1,0,0.4977,0,0.4977,41631
EURUSD=X,FX,SMA2: 40 65 EMA,Active,1.365,12.002,0.114,28.916,60,0.29,2191,2229,0.2505,0.2545,0.505,63421
EURUSD=X,FX,SMA2: 40 65 EMA,Passive,-1.028,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41710
EURUSD=X,FX,SMA2: 40 65 SMA,Active,0.459,12.03,0.038,36.354,75,0.37,2154,2266,0.2466,0.2593,0.5059,54183
EURUSD=X,FX,SMA2: 40 65 SMA,Passive,-1.028,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41710
EURUSD=X,FX,SMA2: 40 75 EMA,Active,1.76,12.012,0.147,23.525,46,0.22,2140,2270,0.2449,0.2601,0.505,67849
EURUSD=X,FX,SMA2: 40 75 EMA,Passive,-1.131,11.605,-0.097,37.808,1,0,1,0,0.4968,0,0.4968,40975
EURUSD=X,FX,SMA2: 40 75 SMA,Active,1.53,12.01,0.127,20.582,62,0.3,2167,2243,0.2467,0.2558,0.5025,65220
EURUSD=X,FX,SMA2: 40 75 SMA,Passive,-1.131,11.605,-0.097,37.808,1,0,1,0,0.4968,0,0.4968,40975
EURUSD=X,FX,SMA2: 40 85 EMA,Active,1.475,12.024,0.123,22.198,38,0.19,2117,2283,0.2436,0.2627,0.5064,64561
EURUSD=X,FX,SMA2: 40 85 EMA,Passive,-1.123,11.616,-0.097,37.809,1,0,1,0,0.497,0,0.497,41052
EURUSD=X,FX,SMA2: 40 85 SMA,Active,2.023,12.022,0.168,23.959,54,0.26,2197,2203,0.2525,0.2532,0.5057,70932
EURUSD=X,FX,SMA2: 40 85 SMA,Passive,-1.123,11.616,-0.097,37.809,1,0,1,0,0.497,0,0.497,41052
EURUSD=X,FX,SMA2: 40 95 EMA,Active,1.076,12.036,0.089,24.4,42,0.21,2117,2273,0.2433,0.2613,0.5046,60246
