Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,TurtleTrading: 10 45,Active,0.83,11.984,0.069,29.817,39,0.19,2129,2306,0.2415,0.2613,0.5028,57833
EURUSD=X,FX,TurtleTrading: 10 45,Passive,-0.995,11.578,-0.086,37.808,1,0,1,0,0.4979,0,0.4979,41930
EURUSD=X,FX,TurtleTrading: 10 50,Active,-0.313,11.984,-0.026,33.526,39,0.19,2099,2336,0.2365,0.2631,0.4997,47317
EURUSD=X,FX,TurtleTrading: 10 50,Passive,-0.995,11.578,-0.086,37.808,1,0,1,0,0.4979,0,0.4979,41930
EURUSD=X,FX,TurtleTrading: 10 55,Active,0.504,11.985,0.042,33.008,33,0.16,2164,2267,0.2455,0.2573,0.5028,54625
EURUSD=X,FX,TurtleTrading: 10 55,Passive,-1.003,11.582,-0.087,37.809,1,0,1,0,0.4979,0,0.4979,41879
EURUSD=X,FX,TurtleTrading: 10 60,Active,-0.008,12.002,-0.001,35.676,33,0.16,2204,2216,0.2498,0.2518,0.5016,49934
EURUSD=X,FX,TurtleTrading: 10 60,Passive,-1.034,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41666
EURUSD=X,FX,TurtleTrading: 10 65,Active,0.772,12.002,0.064,26.805,27,0.13,2053,2367,0.2337,0.2697,0.5034,57219
EURUSD=X,FX,TurtleTrading: 10 65,Passive,-1.034,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41666
EURUSD=X,FX,TurtleTrading: 10 70,Active,0.647,12.007,0.054,32.726,25,0.12,2035,2380,0.231,0.2707,0.5017,55980
EURUSD=X,FX,TurtleTrading: 10 70,Passive,-1.085,11.599,-0.094,37.808,1,0,1,0,0.4972,0,0.4972,41299
EURUSD=X,FX,TurtleTrading: 10 75,Active,0.779,12.012,0.065,32.726,23,0.11,1832,2579,0.2097,0.2947,0.5044,57271
EURUSD=X,FX,TurtleTrading: 10 75,Passive,-1.129,11.603,-0.097,37.808,1,0,1,0,0.4967,0,0.4967,40987
EURUSD=X,FX,TurtleTrading: 15 45,Active,0.83,11.984,0.069,29.817,39,0.19,2129,2306,0.2415,0.2613,0.5028,57833
EURUSD=X,FX,TurtleTrading: 15 45,Passive,-0.995,11.578,-0.086,37.808,1,0,1,0,0.4979,0,0.4979,41930
EURUSD=X,FX,TurtleTrading: 15 50,Active,-0.313,11.984,-0.026,33.526,39,0.19,2099,2336,0.2365,0.2631,0.4997,47317
EURUSD=X,FX,TurtleTrading: 15 50,Passive,-0.995,11.578,-0.086,37.808,1,0,1,0,0.4979,0,0.4979,41930
EURUSD=X,FX,TurtleTrading: 15 55,Active,0.504,11.985,0.042,33.008,33,0.16,2164,2267,0.2455,0.2573,0.5028,54625
EURUSD=X,FX,TurtleTrading: 15 55,Passive,-1.003,11.582,-0.087,37.809,1,0,1,0,0.4979,0,0.4979,41879
EURUSD=X,FX,TurtleTrading: 15 60,Active,-0.008,12.002,-0.001,35.676,33,0.16,2204,2216,0.2498,0.2518,0.5016,49934
EURUSD=X,FX,TurtleTrading: 15 60,Passive,-1.034,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41666
EURUSD=X,FX,TurtleTrading: 15 65,Active,0.772,12.002,0.064,26.805,27,0.13,2053,2367,0.2337,0.2697,0.5034,57219
EURUSD=X,FX,TurtleTrading: 15 65,Passive,-1.034,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41666
EURUSD=X,FX,TurtleTrading: 15 70,Active,0.647,12.007,0.054,32.726,25,0.12,2035,2380,0.231,0.2707,0.5017,55980
EURUSD=X,FX,TurtleTrading: 15 70,Passive,-1.085,11.599,-0.094,37.808,1,0,1,0,0.4972,0,0.4972,41299
EURUSD=X,FX,TurtleTrading: 15 75,Active,0.779,12.012,0.065,32.726,23,0.11,1832,2579,0.2097,0.2947,0.5044,57271
EURUSD=X,FX,TurtleTrading: 15 75,Passive,-1.129,11.603,-0.097,37.808,1,0,1,0,0.4967,0,0.4967,40987
EURUSD=X,FX,TurtleTrading: 20 45,Active,0.83,11.984,0.069,29.817,39,0.19,2129,2306,0.2415,0.2613,0.5028,57833
EURUSD=X,FX,TurtleTrading: 20 45,Passive,-0.995,11.578,-0.086,37.808,1,0,1,0,0.4979,0,0.4979,41930
EURUSD=X,FX,TurtleTrading: 20 50,Active,-0.313,11.984,-0.026,33.526,39,0.19,2099,2336,0.2365,0.2631,0.4997,47317
EURUSD=X,FX,TurtleTrading: 20 50,Passive,-0.995,11.578,-0.086,37.808,1,0,1,0,0.4979,0,0.4979,41930
EURUSD=X,FX,TurtleTrading: 20 55,Active,0.504,11.985,0.042,33.008,33,0.16,2164,2267,0.2455,0.2573,0.5028,54625
EURUSD=X,FX,TurtleTrading: 20 55,Passive,-1.003,11.582,-0.087,37.809,1,0,1,0,0.4979,0,0.4979,41879
EURUSD=X,FX,TurtleTrading: 20 60,Active,-0.008,12.002,-0.001,35.676,33,0.16,2204,2216,0.2498,0.2518,0.5016,49934
EURUSD=X,FX,TurtleTrading: 20 60,Passive,-1.034,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41666
EURUSD=X,FX,TurtleTrading: 20 65,Active,0.772,12.002,0.064,26.805,27,0.13,2053,2367,0.2337,0.2697,0.5034,57219
EURUSD=X,FX,TurtleTrading: 20 65,Passive,-1.034,11.594,-0.089,37.808,1,0,1,0,0.4975,0,0.4975,41666
EURUSD=X,FX,TurtleTrading: 20 70,Active,0.647,12.007,0.054,32.726,25,0.12,2035,2380,0.231,0.2707,0.5017,55980
EURUSD=X,FX,TurtleTrading: 20 70,Passive,-1.085,11.599,-0.094,37.808,1,0,1,0,0.4972,0,0.4972,41299
EURUSD=X,FX,TurtleTrading: 20 75,Active,0.779,12.012,0.065,32.726,23,0.11,1832,2579,0.2097,0.2947,0.5044,57271
EURUSD=X,FX,TurtleTrading: 20 75,Passive,-1.129,11.603,-0.097,37.808,1,0,1,0,0.4967,0,0.4967,40987
EURUSD=X,FX,TurtleTrading: 25 45,Active,0.83,11.984,0.069,29.817,39,0.19,2129,2306,0.2415,0.2613,0.5028,57833
