Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,Volatility_mean_reversion: 10 SMA,Active,2.711,11.665,0.232,23.694,606,2.91,2325,2143,0.2621,0.2404,0.5025,80343
EURUSD=X,FX,Volatility_mean_reversion: 10 SMA,Passive,-0.815,11.544,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43250
EURUSD=X,FX,Volatility_mean_reversion: 10 EMA,Active,0.98,11.665,0.084,29.345,687,3.3,2423,2045,0.2717,0.2287,0.5004,59439
EURUSD=X,FX,Volatility_mean_reversion: 10 EMA,Passive,-0.815,11.544,-0.071,37.809,1,0,1,0,0.4984,0,0.4984,43250
EURUSD=X,FX,Volatility_mean_reversion: 15 SMA,Active,3.794,11.673,0.325,39.771,413,2,2344,2114,0.2669,0.2402,0.5072,96612
EURUSD=X,FX,Volatility_mean_reversion: 15 SMA,Passive,-0.845,11.554,-0.073,37.808,1,0,1,0,0.4984,0,0.4984,43033
EURUSD=X,FX,Volatility_mean_reversion: 15 EMA,Active,1.762,11.678,0.151,38.562,445,2.15,2421,2037,0.273,0.229,0.502,68104
EURUSD=X,FX,Volatility_mean_reversion: 15 EMA,Passive,-0.845,11.554,-0.073,37.808,1,0,1,0,0.4984,0,0.4984,43033
EURUSD=X,FX,Volatility_mean_reversion: 20 SMA,Active,2.439,11.593,0.21,21.77,311,1.5,2347,2101,0.2675,0.2388,0.5063,76501
EURUSD=X,FX,Volatility_mean_reversion: 20 SMA,Passive,-0.932,11.565,-0.081,37.809,1,0,1,0,0.4982,0,0.4982,42382
EURUSD=X,FX,Volatility_mean_reversion: 20 EMA,Active,0.586,11.676,0.05,27.36,343,1.66,2352,2096,0.2678,0.2381,0.5058,55430
EURUSD=X,FX,Volatility_mean_reversion: 20 EMA,Passive,-0.932,11.565,-0.081,37.809,1,0,1,0,0.4982,0,0.4982,42382
EURUSD=X,FX,Volatility_mean_reversion: 25 SMA,Active,2.28,11.605,0.196,24.525,252,1.22,2357,2081,0.2661,0.2337,0.4998,74372
EURUSD=X,FX,Volatility_mean_reversion: 25 SMA,Passive,-0.916,11.575,-0.079,37.809,1,0,1,0,0.4984,0,0.4984,42517
EURUSD=X,FX,Volatility_mean_reversion: 25 EMA,Active,2.044,11.622,0.176,35.449,286,1.39,2442,1996,0.2767,0.2253,0.502,71405
EURUSD=X,FX,Volatility_mean_reversion: 25 EMA,Passive,-0.916,11.575,-0.079,37.809,1,0,1,0,0.4984,0,0.4984,42517
EURUSD=X,FX,Volatility_mean_reversion: 30 SMA,Active,1.204,11.602,0.104,34.068,215,1.04,2372,2056,0.2683,0.2326,0.5009,61705
EURUSD=X,FX,Volatility_mean_reversion: 30 SMA,Passive,-0.993,11.585,-0.086,37.809,1,0,1,0,0.498,0,0.498,41960
EURUSD=X,FX,Volatility_mean_reversion: 30 EMA,Active,1.783,11.6,0.154,35.594,231,1.12,2475,1953,0.2769,0.2179,0.4948,68210
EURUSD=X,FX,Volatility_mean_reversion: 30 EMA,Passive,-0.993,11.585,-0.086,37.809,1,0,1,0,0.498,0,0.498,41960
EURUSD=X,FX,Volatility_mean_reversion: 35 SMA,Active,2.768,11.723,0.236,26.884,203,0.99,2357,2061,0.2691,0.2359,0.505,80697
EURUSD=X,FX,Volatility_mean_reversion: 35 SMA,Passive,-1.023,11.596,-0.088,37.809,1,0,1,0,0.4977,0,0.4977,41750
