Symbol,Class,Methodology,Window_Size,MA_Type,Flat,Dynamic_limits,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Gross Profit,Annualized Profit,Expected Absolute Return,Largest Win,Max Run Up,Average Win,Length of Average Win,Max Drawdown,Largest Loss,Average Loss,Length of Average Loss,Number of Trades Per Year,Percentage of Winning Trades,Period
BTC-USD,Cryptocurrency,SMA1M,10,SMA,TRUE,TRUE,in_sample,1,0.1,5,1000,Active,2213,14.44,0.92,492,355,51.13,5,-61,-432,-49,6,43,43.33,2018-01-12 to 2024-01-01
BTC-USD,Cryptocurrency,SMA1M,10,SMA,TRUE,TRUE,in_sample,1,0.1,5,1000,Passive,2678,16.25,NotApplicable,589,2319,43.56,5,-77,-603,-43.17,5,0,NotApplicable,2018-01-12 to 2024-01-01
BTC-USD,Cryptocurrency,SMA1M,10,SMA,TRUE,TRUE,in_sample,5,0.1,5,1000,Active,-1000,-100,-3.94,811,,67.69,2,-100,-1352,-79.65,3,17,32.95,2018-01-12 to 2024-01-01
BTC-USD,Cryptocurrency,SMA1M,10,SMA,TRUE,TRUE,in_sample,5,0.1,5,1000,Passive,-1000,,NotApplicable,136,,1.63,3,-100,-785,-8.28,3,0,NotApplicable,2018-01-12 to 2024-01-01
BTC-USD,Cryptocurrency,SMA1M,10,SMA,TRUE,TRUE,in_sample,1,0.1,10,1000,Active,3232,18.15,1.27,660,500,61.68,5,-61,-547,-58.78,7,43,43.67,2018-01-12 to 2024-01-01
BTC-USD,Cryptocurrency,SMA1M,10,SMA,TRUE,TRUE,in_sample,1,0.1,10,1000,Passive,2678,16.25,NotApplicable,589,2319,43.56,5,-77,-603,-43.17,5,0,NotApplicable,2018-01-12 to 2024-01-01
BTC-USD,Cryptocurrency,SMA1M,10,SMA,TRUE,TRUE,in_sample,5,0.1,10,1000,Active,-1000,-100,-4.1,882,,107.26,2,-100,-2207,-120.13,3,17,31.82,2018-01-12 to 2024-01-01
BTC-USD,Cryptocurrency,SMA1M,10,SMA,TRUE,TRUE,in_sample,5,0.1,10,1000,Passive,-1000,,NotApplicable,136,,1.63,3,-100,-785,-8.28,3,0,NotApplicable,2018-01-12 to 2024-01-01
BTC-USD,Cryptocurrency,SMA1M,10,SMA,TRUE,FALSE,in_sample,1,0.1,5,1000,Active,1705,12.19,0.9,468,324,48.83,5,-67,-471,-46.81,7,43,44.74,2018-01-12 to 2024-01-01
BTC-USD,Cryptocurrency,SMA1M,10,SMA,TRUE,FALSE,in_sample,1,0.1,5,1000,Passive,2678,16.25,NotApplicable,589,2319,43.56,5,-77,-603,-43.17,5,0,NotApplicable,2018-01-12 to 2024-01-01
