Symbol,Class,Methodology,Ndx,Trend_Strength,Flat,Dynamic_limits,ticker,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Total Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2
CL=F,Commodities,ADX:,9,30,TRUE,FALSE,CL=F,out_of_sample,1,0.1,3,1000,Active,237,19.09,121,74,15.73,64,2,-19.11,-57,-29,-14.69,78,1,4,57,25.65,57,0.999,2024-01-02 to 2025-03-21,CL=F_Active_ADX:_9_30_TRUE_FALSE_1_0.1_3,CL=F_9
CL=F,Commodities,ADX:,9,30,TRUE,FALSE,CL=F,out_of_sample,1,0.1,3,1000,Passive,-26,-2.17,Not Applicable,Not Applicable,14.84,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.01,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.0886,2024-01-02 to 2025-03-21,CL=F_Passive_ADX:_9_30_TRUE_FALSE_1_0.1_3,CL=F_9
CL=F,Commodities,ADX:,9,30,TRUE,TRUE,CL=F,out_of_sample,1,0.1,3,1000,Active,268,21.51,121,82,16.04,64,2,-17.1,-57,-29,-14.66,78,1,4,50,26.5,44,1.2579,2024-01-02 to 2025-03-21,CL=F_Active_ADX:_9_30_TRUE_TRUE_1_0.1_3,CL=F_9
CL=F,Commodities,ADX:,9,30,TRUE,TRUE,CL=F,out_of_sample,1,0.1,3,1000,Passive,-26,-2.17,Not Applicable,Not Applicable,14.84,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.01,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.0886,2024-01-02 to 2025-03-21,CL=F_Passive_ADX:_9_30_TRUE_TRUE_1_0.1_3,CL=F_9
CL=F,Commodities,ADX:,9,30,TRUE,TRUE,CL=F,out_of_sample,1,0.1,7,1000,Active,268,21.51,121,82,16.04,64,2,-17.1,-57,-29,-14.66,78,1,4,50,26.5,44,1.2579,2024-01-02 to 2025-03-21,CL=F_Active_ADX:_9_30_TRUE_TRUE_1_0.1_7,CL=F_9
CL=F,Commodities,ADX:,9,30,TRUE,TRUE,CL=F,out_of_sample,1,0.1,7,1000,Passive,-26,-2.17,Not Applicable,Not Applicable,14.84,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.01,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.0886,2024-01-02 to 2025-03-21,CL=F_Passive_ADX:_9_30_TRUE_TRUE_1_0.1_7,CL=F_9
CL=F,Commodities,ADX:,10,30,TRUE,FALSE,CL=F,out_of_sample,1,0.1,3,1000,Active,9,0.74,57,33,13.63,81,1,-19.6,-54,-30,-12.4,40,2,4,43,1.29,43,0.0378,2024-01-02 to 2025-03-21,CL=F_Active_ADX:_10_30_TRUE_FALSE_1_0.1_3,CL=F_10
CL=F,Commodities,ADX:,10,30,TRUE,FALSE,CL=F,out_of_sample,1,0.1,3,1000,Passive,-26,-2.17,Not Applicable,Not Applicable,14.84,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-15.01,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.0886,2024-01-02 to 2025-03-21,CL=F_Passive_ADX:_10_30_TRUE_FALSE_1_0.1_3,CL=F_10
EURUSD=X,FX,ADX:,5,40,TRUE,FALSE,EURUSD=X,out_of_sample,1,0.1,3,1000,Active,117,9.16,53,18,3.36,42,6,-3.99,-17,-14,-2.93,14,2,7,69,2.76,64,2.2957,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_5_40_TRUE_FALSE_1_0.1_3,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,TRUE,FALSE,EURUSD=X,out_of_sample,1,0.1,3,1000,Passive,-16,-1.3,Not Applicable,Not Applicable,3.13,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.8,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1538,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_5_40_TRUE_FALSE_1_0.1_3,EURUSD=X_5
