Symbol,Class,Methodology,Window_Size,Sd_Mult,Flat,Dynamic_limits,ticker,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Total Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2
USDPLN=X,FX,BollingerBreakout,15,1.5,FALSE,FALSE,USDPLN=X,out_of_sample,5,0.2,3,1000,Active,-209,-17.63,52,29,16.49,8,1,-21.77,-72,-26,-22.45,4,1,39,9,0.27,9,-0.8098,2024-01-22 to 2025-03-21,USDPLN=X_Active_BollingerBreakout_15_1.5_FALSE_FALSE_5_0.2_3,USDPLN=X_15
USDPLN=X,FX,BollingerBreakout,15,1.5,FALSE,FALSE,USDPLN=X,out_of_sample,5,0.2,3,1000,Passive,-226,-19.14,Not Applicable,Not Applicable,22.48,Not Applicable,Not Applicable,-36.6,Not Applicable,Not Applicable,-20.96,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.523,2024-01-22 to 2025-03-21,USDPLN=X_Passive_BollingerBreakout_15_1.5_FALSE_FALSE_5_0.2_3,USDPLN=X_15
USDPLN=X,FX,BollingerBreakout,15,1.5,FALSE,FALSE,USDPLN=X,out_of_sample,5,0.2,7,1000,Active,-209,-17.63,52,29,16.49,8,1,-21.77,-72,-26,-22.45,4,1,39,9,0.27,9,-0.8098,2024-01-22 to 2025-03-21,USDPLN=X_Active_BollingerBreakout_15_1.5_FALSE_FALSE_5_0.2_7,USDPLN=X_15
USDPLN=X,FX,BollingerBreakout,15,1.5,FALSE,FALSE,USDPLN=X,out_of_sample,5,0.2,7,1000,Passive,-226,-19.14,Not Applicable,Not Applicable,22.48,Not Applicable,Not Applicable,-36.6,Not Applicable,Not Applicable,-20.96,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.523,2024-01-22 to 2025-03-21,USDPLN=X_Passive_BollingerBreakout_15_1.5_FALSE_FALSE_5_0.2_7,USDPLN=X_15
USDPLN=X,FX,BollingerBreakout,15,1.5,FALSE,TRUE,USDPLN=X,out_of_sample,5,0.2,3,1000,Active,-209,-17.63,52,29,16.49,8,1,-21.77,-72,-26,-22.45,4,1,39,9,0.27,9,-0.8098,2024-01-22 to 2025-03-21,USDPLN=X_Active_BollingerBreakout_15_1.5_FALSE_TRUE_5_0.2_3,USDPLN=X_15
USDPLN=X,FX,BollingerBreakout,15,1.5,FALSE,TRUE,USDPLN=X,out_of_sample,5,0.2,3,1000,Passive,-226,-19.14,Not Applicable,Not Applicable,22.48,Not Applicable,Not Applicable,-36.6,Not Applicable,Not Applicable,-20.96,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.523,2024-01-22 to 2025-03-21,USDPLN=X_Passive_BollingerBreakout_15_1.5_FALSE_TRUE_5_0.2_3,USDPLN=X_15
USDPLN=X,FX,BollingerBreakout,15,1.5,FALSE,TRUE,USDPLN=X,out_of_sample,5,0.2,7,1000,Active,-209,-17.63,52,29,16.49,8,1,-21.77,-72,-26,-22.45,4,1,39,9,0.27,9,-0.8098,2024-01-22 to 2025-03-21,USDPLN=X_Active_BollingerBreakout_15_1.5_FALSE_TRUE_5_0.2_7,USDPLN=X_15
USDPLN=X,FX,BollingerBreakout,15,1.5,FALSE,TRUE,USDPLN=X,out_of_sample,5,0.2,7,1000,Passive,-226,-19.14,Not Applicable,Not Applicable,22.48,Not Applicable,Not Applicable,-36.6,Not Applicable,Not Applicable,-20.96,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.523,2024-01-22 to 2025-03-21,USDPLN=X_Passive_BollingerBreakout_15_1.5_FALSE_TRUE_5_0.2_7,USDPLN=X_15
USDPLN=X,FX,BollingerBreakout,15,1.5,TRUE,FALSE,USDPLN=X,out_of_sample,5,0.2,3,1000,Active,-209,-17.63,52,29,16.49,8,1,-21.77,-72,-26,-22.45,4,1,39,9,0.27,9,-0.8098,2024-01-22 to 2025-03-21,USDPLN=X_Active_BollingerBreakout_15_1.5_TRUE_FALSE_5_0.2_3,USDPLN=X_15
USDPLN=X,FX,BollingerBreakout,15,1.5,TRUE,FALSE,USDPLN=X,out_of_sample,5,0.2,3,1000,Passive,-226,-19.14,Not Applicable,Not Applicable,22.48,Not Applicable,Not Applicable,-36.6,Not Applicable,Not Applicable,-20.96,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.523,2024-01-22 to 2025-03-21,USDPLN=X_Passive_BollingerBreakout_15_1.5_TRUE_FALSE_5_0.2_3,USDPLN=X_15
