Symbol,Class,Methodology,Window_Size1,Window_Size2,Sline,MA_Type,Flat,Dynamic_limits,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Total Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2
BTC-USD,Cryptocurrency,MACD,10,86,120,EMA,FALSE,FALSE,out_of_sample,1,0.1,3,1000,Active,301,49.25,294,151,21.83,47,2,-26.83,-149,-61,-19.93,10,3,5,40,36,50,1.8356,2024-07-25 to 2025-03-21,BTC-USD_Active_MACD_10_86_120_EMA_FALSE_FALSE_1_0.1_3,BTC-USD_10_86_120
BTC-USD,Cryptocurrency,MACD,10,86,120,EMA,FALSE,FALSE,out_of_sample,1,0.1,3,1000,Passive,285,46.41,Not Applicable,Not Applicable,25.42,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-23.23,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,1.7988,2024-07-25 to 2025-03-21,BTC-USD_Passive_MACD_10_86_120_EMA_FALSE_FALSE_1_0.1_3,BTC-USD_10_86_120
BTC-USD,Cryptocurrency,MACD,10,86,120,EMA,FALSE,FALSE,out_of_sample,1,0.1,7,1000,Active,340,56.09,360,217,22.32,63,1,-26.83,-153,-62,-20.3,10,3,5,33,51.15,50,2.0906,2024-07-25 to 2025-03-21,BTC-USD_Active_MACD_10_86_120_EMA_FALSE_FALSE_1_0.1_7,BTC-USD_10_86_120
BTC-USD,Cryptocurrency,MACD,10,86,120,EMA,FALSE,FALSE,out_of_sample,1,0.1,7,1000,Passive,285,46.41,Not Applicable,Not Applicable,25.42,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-23.23,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,1.7988,2024-07-25 to 2025-03-21,BTC-USD_Passive_MACD_10_86_120_EMA_FALSE_FALSE_1_0.1_7,BTC-USD_10_86_120
BTC-USD,Cryptocurrency,MACD,10,86,120,EMA,FALSE,TRUE,out_of_sample,1,0.1,7,1000,Active,296,48.28,392,171,22.08,44,2,-29.78,-148,-56,-20.61,9,4,6,33,37.95,38,1.6212,2024-07-25 to 2025-03-21,BTC-USD_Active_MACD_10_86_120_EMA_FALSE_TRUE_1_0.1_7,BTC-USD_10_86_120
BTC-USD,Cryptocurrency,MACD,10,86,120,EMA,FALSE,TRUE,out_of_sample,1,0.1,7,1000,Passive,285,46.41,Not Applicable,Not Applicable,25.42,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-23.23,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,1.7988,2024-07-25 to 2025-03-21,BTC-USD_Passive_MACD_10_86_120_EMA_FALSE_TRUE_1_0.1_7,BTC-USD_10_86_120
BTC-USD,Cryptocurrency,MACD,10,124,80,EMA,FALSE,FALSE,out_of_sample,1,0.1,3,1000,Active,336,54.78,357,207,22.64,50,2,-28.02,-125,-41,-20.28,13,4,6,27,44.82,43,1.955,2024-07-23 to 2025-03-21,BTC-USD_Active_MACD_10_124_80_EMA_FALSE_FALSE_1_0.1_3,BTC-USD_10_124_80
BTC-USD,Cryptocurrency,MACD,10,124,80,EMA,FALSE,FALSE,out_of_sample,1,0.1,3,1000,Passive,282,45.43,Not Applicable,Not Applicable,25.19,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-23.06,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,1.7609,2024-07-23 to 2025-03-21,BTC-USD_Passive_MACD_10_124_80_EMA_FALSE_FALSE_1_0.1_3,BTC-USD_10_124_80
BTC-USD,Cryptocurrency,MACD,10,124,80,EMA,FALSE,FALSE,out_of_sample,1,0.1,7,1000,Active,376,61.8,439,333,23.14,75,1,-28.02,-129,-42,-20.65,13,4,5,20,58.2,42,2.2056,2024-07-23 to 2025-03-21,BTC-USD_Active_MACD_10_124_80_EMA_FALSE_FALSE_1_0.1_7,BTC-USD_10_124_80
BTC-USD,Cryptocurrency,MACD,10,124,80,EMA,FALSE,FALSE,out_of_sample,1,0.1,7,1000,Passive,282,45.43,Not Applicable,Not Applicable,25.19,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-23.06,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,1.7609,2024-07-23 to 2025-03-21,BTC-USD_Passive_MACD_10_124_80_EMA_FALSE_FALSE_1_0.1_7,BTC-USD_10_124_80
