Symbol,Class,Methodology,Window_Size,Threshold_Oversold,Threshold_Overbought,Flat,Dynamic_limits,ticker,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Total Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2
CL=F,Commodities,RSI:,12,30,70,TRUE,FALSE,CL=F,out_of_sample,1,0.1,3,1000,Active,111,9.43,45,20,14.82,5,1,-8.94,-57,-29,-15.2,11,1,18,29,-2.61,29,1.0548,2024-01-22 to 2025-03-21,CL=F_Active_RSI:_12_30_70_TRUE_FALSE_1_0.1_3,CL=F_12_30_70
CL=F,Commodities,RSI:,12,30,70,TRUE,FALSE,CL=F,out_of_sample,1,0.1,3,1000,Passive,-91,-7.89,Not Applicable,Not Applicable,13.67,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-14.01,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.322,2024-01-22 to 2025-03-21,CL=F_Passive_RSI:_12_30_70_TRUE_FALSE_1_0.1_3,CL=F_12_30_70
CL=F,Commodities,RSI:,12,30,70,TRUE,TRUE,CL=F,out_of_sample,1,0.1,3,1000,Active,111,9.43,45,20,14.82,5,1,-8.94,-57,-29,-15.2,11,1,18,29,-2.61,29,1.0548,2024-01-22 to 2025-03-21,CL=F_Active_RSI:_12_30_70_TRUE_TRUE_1_0.1_3,CL=F_12_30_70
CL=F,Commodities,RSI:,12,30,70,TRUE,TRUE,CL=F,out_of_sample,1,0.1,3,1000,Passive,-91,-7.89,Not Applicable,Not Applicable,13.67,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-14.01,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.322,2024-01-22 to 2025-03-21,CL=F_Passive_RSI:_12_30_70_TRUE_TRUE_1_0.1_3,CL=F_12_30_70
CL=F,Commodities,RSI:,12,30,80,TRUE,FALSE,CL=F,out_of_sample,1,0.1,3,1000,Active,151,12.79,44,19,13.96,5,1,-3.49,-3,-2,-10.42,8,1,14,30,5.1,30,3.6648,2024-01-22 to 2025-03-21,CL=F_Active_RSI:_12_30_80_TRUE_FALSE_1_0.1_3,CL=F_12_30_80
CL=F,Commodities,RSI:,12,30,80,TRUE,FALSE,CL=F,out_of_sample,1,0.1,3,1000,Passive,-91,-7.89,Not Applicable,Not Applicable,13.67,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-14.01,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.322,2024-01-22 to 2025-03-21,CL=F_Passive_RSI:_12_30_80_TRUE_FALSE_1_0.1_3,CL=F_12_30_80
CL=F,Commodities,RSI:,12,30,80,TRUE,TRUE,CL=F,out_of_sample,1,0.1,3,1000,Active,151,12.79,44,19,13.96,5,1,-3.49,-3,-2,-10.42,8,1,14,30,5.1,30,3.6648,2024-01-22 to 2025-03-21,CL=F_Active_RSI:_12_30_80_TRUE_TRUE_1_0.1_3,CL=F_12_30_80
CL=F,Commodities,RSI:,12,30,80,TRUE,TRUE,CL=F,out_of_sample,1,0.1,3,1000,Passive,-91,-7.89,Not Applicable,Not Applicable,13.67,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-14.01,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.322,2024-01-22 to 2025-03-21,CL=F_Passive_RSI:_12_30_80_TRUE_TRUE_1_0.1_3,CL=F_12_30_80
CL=F,Commodities,RSI:,12,30,80,FALSE,FALSE,CL=F,out_of_sample,1,0.1,3,1000,Active,151,12.79,44,19,13.96,5,1,-3.49,-3,-2,-10.42,8,1,14,30,5.1,30,3.6648,2024-01-22 to 2025-03-21,CL=F_Active_RSI:_12_30_80_FALSE_FALSE_1_0.1_3,CL=F_12_30_80
CL=F,Commodities,RSI:,12,30,80,FALSE,FALSE,CL=F,out_of_sample,1,0.1,3,1000,Passive,-91,-7.89,Not Applicable,Not Applicable,13.67,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-14.01,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.322,2024-01-22 to 2025-03-21,CL=F_Passive_RSI:_12_30_80_FALSE_FALSE_1_0.1_3,CL=F_12_30_80
