Symbol,Class,Methodology,Window_Size,MA_Type,Flat,Dynamic_limits,ticker,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2,key3
CL=F,Commodities,SMA1,27,SMA,TRUE,TRUE,CL=F,out_of_sample,1,0.2,10,1000,Active,-38,-3.57,76,32,15.5,24,4,-33.21,-96,-39,-13.69,12,4,11,50,-3.5,45,-0.1075,2024-02-09 to 2025-03-06,CL=F_Active_SMA1_27_SMA_TRUE_TRUE_1_0.2_10,CL=F_27,CL=F_SMA1_27_SMA_TRUE_TRUE_1_0.2_10
CL=F,Commodities,SMA1,27,SMA,TRUE,TRUE,CL=F,out_of_sample,1,0.2,10,1000,Passive,-135,-12.68,Not Applicable,Not Applicable,13.65,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-13.54,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.5176,2024-02-09 to 2025-03-06,CL=F_Passive_SMA1_27_SMA_TRUE_TRUE_1_0.2_10,CL=F_27,CL=F_SMA1_27_SMA_TRUE_TRUE_1_0.2_10
CL=F,Commodities,SMA1,27,SMA,TRUE,TRUE,CL=F,out_of_sample,1,0.2,5,1000,Active,-38,-3.57,76,32,15.5,24,4,-33.21,-96,-39,-13.69,12,4,11,50,-3.5,45,-0.1075,2024-02-09 to 2025-03-06,CL=F_Active_SMA1_27_SMA_TRUE_TRUE_1_0.2_5,CL=F_27,CL=F_SMA1_27_SMA_TRUE_TRUE_1_0.2_5
CL=F,Commodities,SMA1,27,SMA,TRUE,TRUE,CL=F,out_of_sample,1,0.2,5,1000,Passive,-135,-12.68,Not Applicable,Not Applicable,13.65,Not Applicable,Not Applicable,-24.5,Not Applicable,Not Applicable,-13.54,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.5176,2024-02-09 to 2025-03-06,CL=F_Passive_SMA1_27_SMA_TRUE_TRUE_1_0.2_5,CL=F_27,CL=F_SMA1_27_SMA_TRUE_TRUE_1_0.2_5
EURUSD=X,FX,SMA1,31,SMA,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.2,10,1000,Active,46,4.22,56,18,3.26,37,2,-4.07,-11,-5,-2.73,13,5,10,32,4.16,43,1.0369,2024-02-14 to 2025-03-07,EURUSD=X_Active_SMA1_31_SMA_TRUE_TRUE_1_0.2_10,EURUSD=X_31,EURUSD=X_SMA1_31_SMA_TRUE_TRUE_1_0.2_10
EURUSD=X,FX,SMA1,31,SMA,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.2,10,1000,Passive,11,1.02,Not Applicable,Not Applicable,3.32,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.86,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.1207,2024-02-14 to 2025-03-07,EURUSD=X_Passive_SMA1_31_SMA_TRUE_TRUE_1_0.2_10,EURUSD=X_31,EURUSD=X_SMA1_31_SMA_TRUE_TRUE_1_0.2_10
EURUSD=X,FX,SMA1,31,SMA,TRUE,TRUE,EURUSD=X,out_of_sample,5,0.2,10,1000,Active,203,18.28,262,87,15.35,37,2,-17.83,-52,-27,-13,13,5,10,32,19.2,43,1.0252,2024-02-14 to 2025-03-07,EURUSD=X_Active_SMA1_31_SMA_TRUE_TRUE_5_0.2_10,EURUSD=X_31,EURUSD=X_SMA1_31_SMA_TRUE_TRUE_5_0.2_10
EURUSD=X,FX,SMA1,31,SMA,TRUE,TRUE,EURUSD=X,out_of_sample,5,0.2,10,1000,Passive,6,0.56,Not Applicable,Not Applicable,16.25,Not Applicable,Not Applicable,-36.8,Not Applicable,Not Applicable,-14.32,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.0152,2024-02-14 to 2025-03-07,EURUSD=X_Passive_SMA1_31_SMA_TRUE_TRUE_5_0.2_10,EURUSD=X_31,EURUSD=X_SMA1_31_SMA_TRUE_TRUE_5_0.2_10
EURUSD=X,FX,SMA1,31,SMA,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.2,5,1000,Active,46,4.22,56,18,3.26,37,2,-4.07,-11,-5,-2.73,13,5,10,32,4.16,43,1.0369,2024-02-14 to 2025-03-07,EURUSD=X_Active_SMA1_31_SMA_TRUE_TRUE_1_0.2_5,EURUSD=X_31,EURUSD=X_SMA1_31_SMA_TRUE_TRUE_1_0.2_5
EURUSD=X,FX,SMA1,31,SMA,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.2,5,1000,Passive,11,1.02,Not Applicable,Not Applicable,3.32,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.86,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.1207,2024-02-14 to 2025-03-07,EURUSD=X_Passive_SMA1_31_SMA_TRUE_TRUE_1_0.2_5,EURUSD=X_31,EURUSD=X_SMA1_31_SMA_TRUE_TRUE_1_0.2_5
