Symbol,Class,Methodology,Window_Size,MA_Type,Flat,Dynamic_limits,ticker,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Total Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2
EURUSD=X,FX,SMA1M,31,SMA,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.1,5,1000,Active,39,3.39,50,21,3.32,48,2,-4.77,-14,-6,-2.66,14,5,9,29,4.35,47,0.7107,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_TRUE_TRUE_1_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.1,5,1000,Passive,5,0.4,Not Applicable,Not Applicable,3.34,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.87,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.0473,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_TRUE_TRUE_1_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.1,10,1000,Active,39,3.39,50,21,3.32,48,2,-4.77,-14,-6,-2.66,14,5,9,29,4.35,47,0.7107,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_TRUE_TRUE_1_0.1_10,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,TRUE,EURUSD=X,out_of_sample,1,0.1,10,1000,Passive,5,0.4,Not Applicable,Not Applicable,3.34,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.87,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.0473,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_TRUE_TRUE_1_0.1_10,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,FALSE,EURUSD=X,out_of_sample,1,0.1,5,1000,Active,39,3.39,50,21,3.32,48,2,-4.77,-14,-6,-2.66,14,5,9,29,4.35,47,0.7107,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_TRUE_FALSE_1_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,FALSE,EURUSD=X,out_of_sample,1,0.1,5,1000,Passive,5,0.4,Not Applicable,Not Applicable,3.34,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.87,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.0473,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_TRUE_FALSE_1_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,5,1000,Active,126,10.98,231,99,15.34,48,2,-23.27,-76,-37,-12.52,15,5,9,29,17.98,40,0.4719,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_TRUE_FALSE_5_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,5,1000,Passive,-27,-2.37,Not Applicable,Not Applicable,15.99,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-14.08,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.0644,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_TRUE_FALSE_5_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,FALSE,EURUSD=X,out_of_sample,1,0.1,10,1000,Active,39,3.39,50,21,3.32,48,2,-4.77,-14,-6,-2.66,14,5,9,29,4.35,47,0.7107,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_TRUE_FALSE_1_0.1_10,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,FALSE,EURUSD=X,out_of_sample,1,0.1,10,1000,Passive,5,0.4,Not Applicable,Not Applicable,3.34,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.87,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.0473,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_TRUE_FALSE_1_0.1_10,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,10,1000,Active,126,10.98,231,99,15.34,48,2,-23.27,-76,-37,-12.52,15,5,9,29,17.98,40,0.4719,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_TRUE_FALSE_5_0.1_10,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,10,1000,Passive,-27,-2.37,Not Applicable,Not Applicable,15.99,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-14.08,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.0644,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_TRUE_FALSE_5_0.1_10,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,TRUE,EURUSD=X,out_of_sample,1,0.1,5,1000,Active,39,3.39,50,21,3.32,48,2,-4.77,-14,-6,-2.66,14,5,9,29,4.35,47,0.7107,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_FALSE_TRUE_1_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,TRUE,EURUSD=X,out_of_sample,1,0.1,5,1000,Passive,5,0.4,Not Applicable,Not Applicable,3.34,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.87,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.0473,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_FALSE_TRUE_1_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,TRUE,EURUSD=X,out_of_sample,5,0.1,5,1000,Active,161,13.96,231,100,15.37,48,2,-20.91,-76,-31,-12.41,14,5,9,29,20.01,47,0.6676,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_FALSE_TRUE_5_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,TRUE,EURUSD=X,out_of_sample,5,0.1,5,1000,Passive,-27,-2.37,Not Applicable,Not Applicable,15.99,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-14.08,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.0644,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_FALSE_TRUE_5_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,TRUE,EURUSD=X,out_of_sample,1,0.1,10,1000,Active,39,3.39,50,21,3.32,48,2,-4.77,-14,-6,-2.66,14,5,9,29,4.35,47,0.7107,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_FALSE_TRUE_1_0.1_10,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,TRUE,EURUSD=X,out_of_sample,1,0.1,10,1000,Passive,5,0.4,Not Applicable,Not Applicable,3.34,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.87,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.0473,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_FALSE_TRUE_1_0.1_10,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,TRUE,EURUSD=X,out_of_sample,5,0.1,10,1000,Active,161,13.96,231,100,15.37,48,2,-20.91,-76,-31,-12.41,14,5,9,29,20.01,47,0.6676,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_FALSE_TRUE_5_0.1_10,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,TRUE,EURUSD=X,out_of_sample,5,0.1,10,1000,Passive,-27,-2.37,Not Applicable,Not Applicable,15.99,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-14.08,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.0644,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_FALSE_TRUE_5_0.1_10,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,FALSE,EURUSD=X,out_of_sample,1,0.1,5,1000,Active,39,3.39,50,21,3.32,48,2,-4.77,-14,-6,-2.66,14,5,9,29,4.35,47,0.7107,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_FALSE_FALSE_1_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,FALSE,EURUSD=X,out_of_sample,1,0.1,5,1000,Passive,5,0.4,Not Applicable,Not Applicable,3.34,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.87,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.0473,2024-02-13 to 2025-03-21,EURUSD=X_Passive_SMA1M_31_SMA_FALSE_FALSE_1_0.1_5,EURUSD=X_31
EURUSD=X,FX,SMA1M,31,SMA,FALSE,FALSE,EURUSD=X,out_of_sample,5,0.1,5,1000,Active,161,13.96,231,100,15.37,48,2,-20.91,-76,-31,-12.41,14,5,9,29,20.01,47,0.6676,2024-02-13 to 2025-03-21,EURUSD=X_Active_SMA1M_31_SMA_FALSE_FALSE_5_0.1_5,EURUSD=X_31
