Symbol,Key,Strategy,TradePnL,TradePnLSD,TradePnL_5,TradePnL_95,TGP,TGPSD,TGP_5,TGP_95,Trades,Nfamily,RR
CL=F,CL=F_14_215,SMA2,5.0728125,39.393213059669,-38.0325,47.0525,34.9427083333333,668.180348732535,-1532,1110,4265,384,0.128773768524954
CL=F,CL=F_17_215,SMA2,-3.11322916666667,24.083635959748,-37.3825,43.26,-33.6223958333333,597.930622536234,-1536.55,958,4211,384,-0.129267406793141
CL=F,CL=F_10_179,SMA2,-3.34083333333333,22.2354644971385,-33.6,37.2,-36.2994791666667,472.336264914917,-979.65,534.049999999998,4609,384,-0.150247966880263
CL=F,CL=F_30_215,SMA2,-4.94322916666667,26.5725814959228,-42.1075,39.6075,-50.8359375,410.032669729613,-869,431.85,4001,384,-0.186027434610565
CL=F,CL=F_10_215,SMA2,-4.96916666666667,25.6913974816747,-37.1675,38.7875,-21.8984375,643.99878176235,-1536.7,1082,4209,384,-0.193417530915206
CL=F,CL=F_12_179,SMA2,-5.40041666666667,20.3331912175074,-33.44,30.67,-50.9375,437.235662777155,-993.25,420,4494,384,-0.265596118626808
CL=F,CL=F_12_215,SMA2,-5.40166666666667,21.864871016345,-37.4175,34.06,-26.8802083333333,605.924131800019,-1540.4,958,4251,384,-0.247047726127846
CL=F,CL=F_21_179,SMA2,-6.498125,17.4641765856793,-33.94,22.7025,-54.1614583333333,393.854454799602,-869.6,465.149999999999,4420,384,-0.372083102121659
CL=F,CL=F_21_149,SMA2,-8.4715625,14.5222417675078,-29.8675,12.9175,-54.8255208333333,381.296774932782,-931.55,414.599999999999,4575,384,-0.583350878991312
CL=F,CL=F_21_215,SMA2,-10.2269791666667,21.150311488053,-46.0075,21.4875,-62.2734375,562.512222760299,-1407.05,936.599999999996,4010,384,-0.483537992924761
CL=F,CL=F_17_179,SMA2,-10.4301041666667,14.7345344072883,-36.39,12.9675,-65.6484375,416.348034077959,-914.35,355.5,4434,384,-0.707867916173011
CL=F,CL=F_25_149,SMA2,-10.8709375,12.3582789704652,-31.665,5.935,-68.6380208333333,340.515262632808,-847.7,334.1,4629,384,-0.879648171560154
CL=F,CL=F_43_215,SMA2,-11.7190625,19.0613422556106,-47.125,17.4425,-69.7760416666667,271.401164347827,-562,287,3936,384,-0.614807831623219
CL=F,CL=F_30_149,SMA2,-12.0226041666667,12.2745489568578,-33.405,6.39,-80.9192708333333,313.618710882586,-742.4,312.25,4602,384,-0.979474211958693
EURUSD=X,EURUSD=X_25_179,SMA2,31.2411458333333,49.0776108428443,-3.09,172.8,61.1640625,141.12950429264,-166.4,381.55,2432,384,0.636566150976121
EURUSD=X,EURUSD=X_30_149,SMA2,8.3428125,11.4516931134428,-7.29,27.825,22.3020833333333,128.506717305031,-180.55,352,2587,384,0.728522185964502
EURUSD=X,EURUSD=X_30_104,SMA2,6.27989583333333,11.1366771473259,-8.52,33.29,28.5572916666667,177.660255605717,-201.7,395.449999999999,2971,384,0.563893138883102
EURUSD=X,EURUSD=X_25_149,SMA2,4.91604166666667,9.79308590461085,-7.0525,21.985,18.7109375,132.878936577864,-230.7,301.85,2786,384,0.501991069469947
EURUSD=X,EURUSD=X_30_124,SMA2,1.2740625,6.44746422256966,-11.245,14.1375,2.79166666666667,131.253699023676,-230.35,283,2945,384,0.197606757636604
EURUSD=X,EURUSD=X_10_50,SMA2,0.893229166666667,2.82626608602854,-4.03,4.9975,19.28125,146.353729588593,-160.85,390.4,5902,384,0.316045672798568
EURUSD=X,EURUSD=X_25_124,SMA2,0.448125,6.1729236121187,-12.35,7.595,3.29166666666667,157.037266978865,-258.85,335.65,3057,384,0.0725952608777208
