Symbol,Class,Methodology,Window_Size1,Window_Size2,MA_Type,Flat,Dynamic_limits,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Total Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2
BTC-USD,Cryptocurrency,SMA2M,10,104,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Active,362,39.06,362,362,26.35,268,1,-26.02,0,NaN,-24.21,,0,1,50,NaN,50,1.5012,2024-04-14 to 2025-03-21,BTC-USD_Active_SMA2M_10_104_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_10_104
BTC-USD,Cryptocurrency,SMA2M,10,104,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Passive,289,31.16,Not Applicable,Not Applicable,23.36,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-21.27,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,1.2078,2024-04-14 to 2025-03-21,BTC-USD_Passive_SMA2M_10_104_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_10_104
BTC-USD,Cryptocurrency,SMA2M,10,124,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Active,339,39.19,339,339,26.01,265,1,-26.01,0,NaN,-23.82,,0,1,50,NaN,50,1.5067,2024-05-04 to 2025-03-21,BTC-USD_Active_SMA2M_10_124_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_10_124
BTC-USD,Cryptocurrency,SMA2M,10,124,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Passive,328,37.93,Not Applicable,Not Applicable,24.33,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-21.86,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,1.4702,2024-05-04 to 2025-03-21,BTC-USD_Passive_SMA2M_10_124_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_10_124
BTC-USD,Cryptocurrency,SMA2M,12,104,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Active,378,40.81,378,378,26.79,266,1,-26.02,0,NaN,-24.52,,0,1,50,NaN,50,1.5684,2024-04-14 to 2025-03-21,BTC-USD_Active_SMA2M_12_104_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_12_104
BTC-USD,Cryptocurrency,SMA2M,12,104,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Passive,289,31.16,Not Applicable,Not Applicable,23.36,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-21.27,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,1.2078,2024-04-14 to 2025-03-21,BTC-USD_Passive_SMA2M_12_104_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_12_104
BTC-USD,Cryptocurrency,SMA2M,14,104,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Active,339,36.52,339,339,26.01,265,1,-26.01,0,NaN,-23.82,,0,1,50,NaN,50,1.4041,2024-04-14 to 2025-03-21,BTC-USD_Active_SMA2M_14_104_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_14_104
BTC-USD,Cryptocurrency,SMA2M,14,104,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Passive,289,31.16,Not Applicable,Not Applicable,23.36,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-21.27,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,1.2078,2024-04-14 to 2025-03-21,BTC-USD_Passive_SMA2M_14_104_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_14_104
BTC-USD,Cryptocurrency,SMA2M,17,72,SMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Active,314,30.57,314,314,24.33,327,1,-26.01,0,NaN,-22.11,,0,1,50,NaN,50,1.1753,2024-03-13 to 2025-03-21,BTC-USD_Active_SMA2M_17_72_SMA_FALSE_FALSE_1_0.2_5,BTC-USD_17_72
BTC-USD,Cryptocurrency,SMA2M,17,72,SMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Passive,172,16.78,Not Applicable,Not Applicable,21.7,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-20.21,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.6504,2024-03-13 to 2025-03-21,BTC-USD_Passive_SMA2M_17_72_SMA_FALSE_FALSE_1_0.2_5,BTC-USD_17_72
BTC-USD,Cryptocurrency,SMA2M,21,86,SMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Active,346,35.17,346,346,24.96,319,1,-26.01,0,NaN,-22.48,,0,1,50,NaN,50,1.3522,2024-03-27 to 2025-03-21,BTC-USD_Active_SMA2M_21_86_SMA_FALSE_FALSE_1_0.2_5,BTC-USD_21_86
BTC-USD,Cryptocurrency,SMA2M,21,86,SMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Passive,223,22.6,Not Applicable,Not Applicable,22.11,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-20.52,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.876,2024-03-27 to 2025-03-21,BTC-USD_Passive_SMA2M_21_86_SMA_FALSE_FALSE_1_0.2_5,BTC-USD_21_86
BTC-USD,Cryptocurrency,SMA2M,25,72,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Active,391,38.01,391,391,26.92,267,1,-26.02,0,NaN,-24.75,,0,1,50,NaN,50,1.4608,2024-03-13 to 2025-03-21,BTC-USD_Active_SMA2M_25_72_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_25_72
BTC-USD,Cryptocurrency,SMA2M,25,72,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Passive,172,16.78,Not Applicable,Not Applicable,21.7,Not Applicable,Not Applicable,-25.8,Not Applicable,Not Applicable,-20.21,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,0.6504,2024-03-13 to 2025-03-21,BTC-USD_Passive_SMA2M_25_72_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_25_72
BTC-USD,Cryptocurrency,SMA2M,30,72,EMA,FALSE,FALSE,out_of_sample,1,0.2,5,1000,Active,378,36.74,378,378,26.79,266,1,-26.02,0,NaN,-24.52,,0,1,50,NaN,50,1.412,2024-03-13 to 2025-03-21,BTC-USD_Active_SMA2M_30_72_EMA_FALSE_FALSE_1_0.2_5,BTC-USD_30_72
