product_display,expire_date,contract_dt
VX+VXT/G3,2013-02-13,2013-02-13
VX+VXT/H3,2013-03-20,2013-03-20
VX+VXT/J3,2013-04-17,2013-04-17
VX+VXT/K3,2013-05-22,2013-05-22
VX+VXT/M3,2013-06-19,2013-06-19
VX+VXT/N3,2013-07-17,2013-07-17
VX+VXT/Q3,2013-08-21,2013-08-21
VX+VXT/U3,2013-09-18,2013-09-18
VX+VXT/V3,2013-10-16,2013-10-16
VX+VXT/X3,2013-11-20,2013-11-20
VX+VXT/Z3,2013-12-18,2013-12-18
VX+VXT/F4,2014-01-22,2014-01-22
VX+VXT/G4,2014-02-19,2014-02-19
VX+VXT/H4,2014-03-18,2014-03-18
VX+VXT/J4,2014-04-16,2014-04-16
VX+VXT/K4,2014-05-21,2014-05-21
VX+VXT/M4,2014-06-18,2014-06-18
VX+VXT/N4,2014-07-16,2014-07-16
VX+VXT/Q4,2014-08-20,2014-08-20
VX+VXT/U4,2014-09-17,2014-09-17
VX+VXT/V4,2014-10-22,2014-10-22
VX+VXT/X4,2014-11-19,2014-11-19
VX+VXT/Z4,2014-12-17,2014-12-17
VX+VXT/F5,2015-01-21,2015-01-21
VX+VXT/G5,2015-02-18,2015-02-18
VX+VXT/H5,2015-03-18,2015-03-18
VX+VXT/J5,2015-04-15,2015-04-15
VX+VXT/K5,2015-05-20,2015-05-20
VX+VXT/M5,2015-06-17,2015-06-17
VX+VXT/N5,2015-07-22,2015-07-22
VX+VXT/Q5,2015-08-19,2015-08-19
VX+VXT/U5,2015-09-16,2015-09-16
VX+VXT/V5,2015-10-21,2015-10-21
VX+VXT/X5,2015-11-18,2015-11-18
VX+VXT/Z5,2015-12-16,2015-12-16
VX+VXT32/Q5,2015-08-05,2015-08-05
VX+VXT33/Q5,2015-08-12,2015-08-12
VX+VXT35/Q5,2015-08-26,2015-08-26
VX+VXT36/U5,2015-09-02,2015-09-02
VX+VXT37/U5,2015-09-09,2015-09-09
VX+VXT39/U5,2015-09-23,2015-09-23
VX+VXT40/U5,2015-09-30,2015-09-30
VX+VXT41/V5,2015-10-07,2015-10-07
VX+VXT42/V5,2015-10-14,2015-10-14
VX+VXT44/V5,2015-10-28,2015-10-28
VX+VXT45/X5,2015-11-04,2015-11-04
VX+VXT46/X5,2015-11-11,2015-11-11
VX+VXT48/X5,2015-11-24,2015-11-24
VX+VXT49/Z5,2015-12-01,2015-12-01
VX+VXT50/Z5,2015-12-09,2015-12-09
VX+VXT52/Z5,2015-12-23,2015-12-23
VX+VXT53/Z5,2015-12-30,2015-12-30
VX+VXT/F6,2016-01-20,2016-01-20
VX+VXT/G6,2016-02-17,2016-02-17
VX+VXT/H6,2016-03-16,2016-03-16
VX+VXT/J6,2016-04-20,2016-04-20
VX+VXT/K6,2016-05-18,2016-05-18
